Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive_90,PassDead_90,TO_90,Sh_90,Fld_90,Def_90,Matches
38,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,22,1995,18.8,15,0.80,15,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
39,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,25,1992,17.2,53,3.07,44,4,1,3,0,1,4,0.23,4,0,0,0,0,0,Matches
40,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,24,1992,17.2,40,2.33,27,0,7,1,4,1,7,0.41,4,0,2,0,1,0,Matches
41,David Alba,es ESP,DF,Getafe,es La Liga,18,1999,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
42,Jordi Alba,es ESP,DF,Barcelona,es La Liga,28,1989,30.5,64,2.10,61,1,1,1,0,0,11,0.36,10,0,0,1,0,0,Matches
43,Raúl Albentosa,es ESP,DF,La Coruña,es La Liga,28,1988,19.4,6,0.31,4,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
44,Luis Alberto,es ESP,"FW,MF",Lazio,it Serie A,24,1992,29.7,183,6.18,112,50,12,7,2,0,25,0.84,13,8,3,0,1,0,Matches
45,Raúl Albiol,es ESP,DF,Napoli,it Serie A,31,1985,30.5,24,0.79,23,0,0,1,0,0,3,0.10,2,0,0,1,0,0,Matches
46,Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,de Bundesliga,26,1990,7.8,20,2.56,15,1,1,1,1,1,3,0.38,3,0,0,0,0,0,Matches
47,Marc Albrighton,eng ENG,"MF,FW",Leicester City,eng Premier League,27,1989,28.2,79,2.80,51,15,9,1,3,0,11,0.39,10,1,0,0,0,0,Matches
48,Paco Alcácer,es ESP,"MF,FW",Barcelona,es La Liga,23,1993,7.7,15,1.94,11,0,0,2,1,1,5,0.65,2,0,0,1,1,1,Matches
49,Pedro Alcalá,es ESP,DF,Girona,es La Liga,28,1989,7.7,6,0.78,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
50,Thiago Alcántara,es ESP,"MF,FW",Bayern Munich,de Bundesliga,26,1991,13.9,60,4.33,52,3,1,0,2,2,5,0.36,4,0,1,0,0,0,Matches
51,David Alcibiade,fr FRA,DF,Nantes,fr Ligue 1,25,1991,2.3,3,1.30,3,0,0,0,0,0,1,0.43,1,0,0,0,0,0,Matches
52,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,28,1989,13.1,20,1.53,16,0,3,1,0,0,0,0.00,0,0,0,0,0,0,Matches
53,Steve Aldo One,cm CMR,DF,La Coruña,es La Liga,22,1995,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
54,Álex Alegría,es ESP,FW,Levante,es La Liga,24,1992,7.0,11,1.58,7,0,0,0,4,0,2,0.29,1,0,0,0,1,0,Matches
55,Iván Alejo,es ESP,"MF,FW",Eibar,es La Liga,22,1995,12.2,31,2.53,22,1,2,0,5,1,3,0.25,3,0,0,0,0,0,Matches
56,Alexander,ar ARG,"MF,FW",Leganés,es La Liga,28,1988,11.8,35,2.97,23,4,2,4,2,0,4,0.34,2,1,0,0,1,0,Matches
57,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,18,1998,17.5,42,2.40,29,7,2,2,0,2,3,0.17,2,0,1,0,0,0,Matches
58,Alexis,es ESP,DF,Alavés,es La Liga,31,1985,24.3,15,0.62,11,4,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
59,Alisson,br BRA,GK,Roma,it Serie A,24,1992,37.0,5,0.14,4,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
60,Allan,br BRA,MF,Napoli,it Serie A,26,1991,31.7,102,3.22,76,0,10,3,9,4,14,0.44,11,0,1,0,1,1,Matches
61,Joe Allen,wls WAL,MF,Stoke City,eng Premier League,27,1990,34.9,74,2.12,63,3,2,1,4,1,12,0.34,8,1,1,0,1,1,Matches
62,Dele Alli,eng ENG,"MF,FW",Tottenham,eng Premier League,21,1996,32.9,133,4.05,104,1,5,6,14,3,19,0.58,14,0,0,3,2,0,Matches
63,Júnior Alonso,py PAR,DF,Lille,fr Ligue 1,24,1993,30.9,27,0.87,24,3,0,0,0,0,3,0.10,3,0,0,0,0,0,Matches
64,José Alonso Lara,es ESP,MF,Sevilla,es La Liga,17,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
65,Marcos Alonso,es ESP,"DF,MF",Chelsea,eng Premier League,26,1990,31.7,81,2.55,64,5,2,6,3,1,7,0.22,7,0,0,0,0,0,Matches
66,Ricky Álvarez,ar ARG,MF,Sampdoria,it Serie A,29,1988,3.0,12,4.08,7,3,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
67,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,30,1986,16.4,3,0.18,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
68,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,22,1995,7.5,11,1.47,9,0,0,0,1,1,1,0.13,1,0,0,0,0,0,Matches
69,Dani Alves,br BRA,DF,Paris S-G,fr Ligue 1,34,1983,22.9,84,3.66,74,4,1,5,0,0,12,0.52,12,0,0,0,0,0,Matches
70,Ibrahim Amadou,fr FRA,"MF,DF",Lille,fr Ligue 1,24,1993,26.7,27,1.01,21,0,0,2,4,0,0,0.00,0,0,0,0,0,0,Matches
71,Eloi Amagat,es ESP,MF,Girona,es La Liga,32,1985,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
72,Morgan Amalfitano,fr FRA,"MF,FW",Rennes,fr Ligue 1,32,1985,8.3,18,2.17,15,0,0,3,0,0,2,0.24,1,0,0,1,0,0,Matches
73,Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,27,1989,30.0,53,1.76,44,3,2,1,3,0,4,0.13,3,1,0,0,0,0,Matches
74,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,22,1994,5.4,2,0.37,0,1,0,0,1,0,1,0.18,0,1,0,0,0,0,Matches
75,Jordi Amat,id IDN,"DF,MF",Betis,es La Liga,25,1992,22.7,18,0.79,16,0,2,0,0,0,1,0.04,1,0,0,0,0,0,Matches
76,Amath,sn SEN,"MF,FW",Getafe,es La Liga,21,1996,31.8,61,1.92,36,0,12,3,9,1,4,0.13,2,0,1,1,0,0,Matches
77,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,23,1994,24.4,53,2.18,35,4,7,5,2,0,8,0.33,6,1,0,1,0,0,Matches
78,Stephan Ambrosius,gh GHA,DF,Hamburger SV,de Bundesliga,18,1998,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
79,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,19,1998,35.0,33,0.94,19,7,6,0,1,0,4,0.11,2,0,2,0,0,0,Matches
80,Nadiem Amiri,de GER,MF,Hoffenheim,de Bundesliga,20,1996,19.4,74,3.83,55,7,3,7,2,0,6,0.31,5,0,0,1,0,0,Matches
81,Ethan Ampadu,wls WAL,DF,Chelsea,eng Premier League,16,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
82,Nordin Amrabat,ma MAR,FW,Watford,eng Premier League,30,1987,2.2,5,2.27,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
83,Nordin Amrabat,ma MAR,"FW,MF",Leganés,es La Liga,30,1987,18.0,53,2.94,30,1,12,4,6,0,7,0.39,4,1,2,0,0,0,Matches
84,Jon Ander Serantes,es ESP,GK,Leganés,es La Liga,27,1989,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
85,Joachim Andersen,dk DEN,DF,Sampdoria,it Serie A,21,1996,6.1,3,0.49,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
86,Felipe Anderson,br BRA,"FW,MF",Lazio,it Serie A,24,1993,12.9,84,6.52,56,10,14,1,2,1,13,1.01,10,1,2,0,0,0,Matches
87,Florin Andone,ro ROU,FW,La Coruña,es La Liga,24,1993,18.2,23,1.27,11,0,2,6,4,0,5,0.28,3,0,0,1,1,0,Matches
88,Nícolas Andrade,br BRA,GK,Hellas Verona,it Serie A,29,1988,36.0,11,0.31,7,4,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
89,Benjamin André,fr FRA,MF,Rennes,fr Ligue 1,26,1990,33.5,77,2.30,66,0,3,3,3,2,7,0.21,6,0,0,1,0,0,Matches
90,Marco Andreolli,it ITA,DF,Cagliari,it Serie A,31,1986,20.3,6,0.30,5,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
91,Yoann Andreu,fr FRA,DF,Angers,fr Ligue 1,28,1989,23.0,38,1.65,31,3,2,0,2,0,4,0.17,3,0,0,0,1,0,Matches
92,Miguel Ángel Guerrero,es ESP,FW,Leganés,es La Liga,27,1990,16.0,30,1.87,22,0,2,2,3,1,6,0.37,3,0,0,2,1,0,Matches
93,José Ángel,es ESP,DF,Eibar,es La Liga,27,1989,27.0,76,2.82,36,30,6,2,2,0,11,0.41,5,4,1,1,0,0,Matches
94,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,33,1984,8.5,1,0.12,1,0,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches
95,Miguel Ángel Rubio,es ESP,DF,Getafe,es La Liga,19,1998,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
96,Gabriele Angella,it ITA,DF,Udinese,it Serie A,28,1989,9.9,11,1.11,9,0,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
97,Cristian Ansaldi,ar ARG,DF,Torino,it Serie A,30,1986,20.8,51,2.45,31,2,10,3,3,2,8,0.39,5,0,1,1,1,0,Matches
98,Luca Antei,it ITA,DF,Benevento,it Serie A,25,1992,6.6,5,0.76,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
99,Mirco Antenucci,it ITA,FW,SPAL,it Serie A,32,1984,28.6,81,2.83,56,1,6,8,7,3,10,0.35,6,0,0,3,1,0,Matches
100,Waldemar Anton,de GER,"DF,MF",Hannover 96,de Bundesliga,21,1996,25.3,14,0.55,13,0,0,1,0,0,2,0.08,2,0,0,0,0,0,Matches
101,Luca Antonelli,it ITA,"DF,FW",Milan,it Serie A,30,1987,1.6,2,1.26,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
