Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive_90,PassDead_90,TO_90,Sh_90,Fld_90,Def_90,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24,2000,1.0,2,2.09,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
2,Max Aarons,eng ENG,"DF,MF",Valencia,es La Liga,24,2000,1.3,1,0.75,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21,2003,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
4,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,20,2004,1.0,1,1.02,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,36,1987,11.5,6,0.55,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,24,1999,31.6,94,2.98,80,2,5,1,3,3,5,0.16,3,0,2,0,0,0,Matches
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25,1999,9.5,8,0.84,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,30,1993,15.5,45,2.91,33,3,4,4,0,1,3,0.19,1,1,0,1,0,0,Matches
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25,1999,2.3,6,2.65,5,0,0,0,1,0,1,0.44,1,0,0,0,0,0,Matches
11,Abel,es ESP,DF,Osasuna,es La Liga,23,2000,23.0,39,1.69,29,2,5,0,1,2,4,0.17,2,0,1,0,0,1,Matches
12,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,21,2002,2.9,3,1.03,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
13,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
14,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21,2003,30.8,61,1.98,43,0,8,6,3,1,9,0.29,6,0,2,1,0,0,Matches
15,Abner,br BRA,DF,Lyon,fr Ligue 1,24,2000,12.1,25,2.06,21,3,0,1,0,0,1,0.08,1,0,0,0,0,0,Matches
16,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24,2000,21.1,34,1.61,19,0,4,6,4,1,7,0.33,3,0,1,0,3,0,Matches
17,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25,1999,27.4,25,0.91,20,0,0,2,1,2,3,0.11,2,0,0,0,1,0,Matches
18,Tammy Abraham,eng ENG,FW,Roma,it Serie A,26,1997,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
19,Tammy Abraham,eng ENG,FW,Milan,it Serie A,26,1997,13.1,33,2.51,28,0,0,4,1,0,9,0.68,7,0,0,1,1,0,Matches
20,Federico Accornero,it ITA,MF,Genoa,it Serie A,20,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
21,Francesco Acerbi,it ITA,DF,Inter,it Serie A,36,1988,19.0,20,1.05,20,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
22,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18,2006,1.9,2,1.06,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
23,Akor Adams,ng NGA,FW,Sevilla,es La Liga,24,2000,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
24,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24,2000,11.9,25,2.09,18,0,4,1,2,0,5,0.42,2,0,1,0,2,0,Matches
25,Che Adams,sct SCO,FW,Torino,it Serie A,28,1996,29.5,63,2.14,49,1,0,8,5,0,5,0.17,4,0,0,1,0,0,Matches
26,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,25,1999,21.8,41,1.88,35,0,0,1,1,4,4,0.18,3,0,0,0,0,1,Matches
27,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23,2001,17.2,29,1.69,22,0,1,3,3,0,3,0.17,2,0,0,1,0,0,Matches
