Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive_90,PassDead_90,TO_90,Sh_90,Fld_90,Def_90,Matches
28,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,26,1997,15.7,15,0.96,8,0,0,6,0,1,1,0.06,0,0,0,1,0,0,Matches
29,Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,20,2003,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
30,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,22,2002,15.9,57,3.58,35,1,12,6,2,1,11,0.69,7,0,3,1,0,0,Matches
31,Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,22,2002,12.2,47,3.86,33,0,6,8,0,0,7,0.57,5,0,1,1,0,0,Matches
32,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,24,2000,8.5,29,3.41,19,0,2,4,4,0,0,0.00,0,0,0,0,0,0,Matches
33,Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24,2000,13.5,50,3.64,35,10,2,2,1,0,10,0.73,6,2,1,1,0,0,Matches
34,Adrián,es ESP,GK,Betis,es La Liga,37,1987,19.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
35,Adryelson,br BRA,DF,Lyon,fr Ligue 1,26,1998,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
36,Vasilije Adžić,me MNE,"MF,FW",Juventus,it Serie A,18,2006,0.5,2,4.29,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
37,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,27,1997,8.0,18,2.23,15,2,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
38,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,26,1998,18.2,52,2.86,28,0,12,7,5,0,6,0.33,3,0,3,0,0,0,Matches
39,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,27,1997,15.7,17,1.09,15,2,0,0,0,0,3,0.19,2,1,0,0,0,0,Matches
40,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,27,1997,14.0,21,1.50,19,0,1,1,0,0,1,0.07,1,0,0,0,0,0,Matches
41,Asher Agbinone,eng ENG,MF,Crystal Palace,eng Premier League,18,2005,0.1,1,15.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
42,Jeremy Agbonifo,se SWE,"FW,MF",Lens,fr Ligue 1,18,2005,3.3,8,2.40,7,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
43,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,23,2000,13.4,3,0.22,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
44,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,22,2002,23.5,60,2.55,57,0,1,1,0,1,5,0.21,4,0,0,1,0,0,Matches
45,Felix Agu,ng NGA,DF,Werder Bremen,de Bundesliga,24,1999,19.5,35,1.80,30,1,2,0,2,0,1,0.05,1,0,0,0,0,0,Matches
46,Álvaro Aguado,es ESP,MF,Espanyol,es La Liga,28,1996,4.9,16,3.25,13,1,1,1,0,0,1,0.20,1,0,0,0,0,0,Matches
47,Lorenzo Aguado,es ESP,DF,Real Madrid,es La Liga,21,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
48,Nayef Aguerd,ma MAR,DF,Real Sociedad,es La Liga,28,1996,19.6,16,0.82,13,1,0,2,0,0,1,0.05,1,0,0,0,0,0,Matches
49,Ruben Aguilar,fr FRA,"DF,MF",Lens,fr Ligue 1,31,1993,12.5,26,2.08,24,0,0,2,0,0,5,0.40,4,0,0,1,0,0,Matches
50,Naouirou Ahamada,fr FRA,"MF,FW",Rennes,fr Ligue 1,22,2002,0.6,2,3.10,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
51,Honest Ahanor,it ITA,"DF,MF",Genoa,it Serie A,16,2008,3.0,5,1.67,3,0,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
52,Erik Ahlstrand,se SWE,"FW,MF",St. Pauli,de Bundesliga,22,2001,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
53,Jean-Eudes Aholou,ci CIV,MF,Angers,fr Ligue 1,30,1994,21.8,33,1.52,21,0,2,4,3,3,1,0.05,0,0,0,0,1,0,Matches
54,Joseph Aidoo,gh GHA,DF,Valladolid,es La Liga,28,1995,6.5,1,0.15,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
55,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,28,1995,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
56,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,19,2005,1.4,1,0.71,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
57,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,27,1996,33.3,62,1.86,49,5,3,1,3,1,4,0.12,3,0,0,0,0,1,Matches
58,Rayan Aït-Nouri,dz ALG,DF,Wolves,eng Premier League,23,2001,34.5,91,2.63,56,15,8,7,4,1,12,0.35,10,1,0,0,0,1,Matches
59,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,19,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
60,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,26,1998,16.0,18,1.13,15,0,1,2,0,0,2,0.13,2,0,0,0,0,0,Matches
61,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,30,1994,27.7,60,2.17,49,0,2,5,2,2,8,0.29,3,0,1,3,1,0,Matches
62,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,29,1995,22.4,37,1.65,37,0,0,0,0,0,3,0.13,3,0,0,0,0,0,Matches
63,Ümit Akdag,ro ROU,DF,Toulouse,fr Ligue 1,20,2003,5.6,5,0.90,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
64,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,29,1995,7.5,8,1.06,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
65,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,20,2004,6.5,29,4.38,17,0,5,1,6,0,1,0.15,0,0,0,0,1,0,Matches
66,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,26,1997,28.0,37,1.32,29,4,0,2,2,0,3,0.11,3,0,0,0,0,0,Matches
67,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,fr Ligue 1,22,2002,26.7,119,4.45,87,3,12,6,8,3,19,0.71,17,0,0,2,0,0,Matches
68,Paul Akouokou,ci CIV,MF,Lyon,fr Ligue 1,26,1997,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
69,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,22,2001,27.6,22,0.80,15,3,0,0,2,2,4,0.14,2,0,0,0,2,0,Matches
70,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,it Serie A,31,1992,10.7,12,1.12,8,0,1,1,1,1,1,0.09,0,0,0,0,0,1,Matches
71,David Akpan Ankeye,ng NGA,"FW,MF",Genoa,it Serie A,22,2002,0.5,1,2.00,0,0,0,0,1,0,1,2.00,0,0,0,0,1,0,Matches
72,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,29,1995,24.7,27,1.09,25,1,0,0,1,0,1,0.04,1,0,0,0,0,0,Matches
73,Chuba Akpom,eng ENG,FW,Lille,fr Ligue 1,28,1995,7.1,17,2.39,8,0,2,5,2,0,3,0.42,1,0,0,1,1,0,Matches
74,David Alaba,at AUT,DF,Real Madrid,es La Liga,32,1992,3.5,2,0.57,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
75,Ibrahim Alani,ng NGA,MF,Valladolid,es La Liga,18,2006,1.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
76,Andreas Albers,dk DEN,FW,St. Pauli,de Bundesliga,34,1990,0.7,2,2.95,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
77,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,38,1985,13.2,5,0.38,4,0,0,1,0,0,3,0.23,3,0,0,0,0,0,Matches
78,Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,21,2002,0.1,1,9.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
79,Carlos Alcaraz,ar ARG,"FW,MF",Everton,eng Premier League,21,2002,8.5,33,3.89,24,2,3,3,1,0,6,0.71,5,0,0,1,0,0,Matches
80,Omar Alderete,py PAR,DF,Getafe,es La Liga,27,1996,33.0,37,1.12,28,1,1,5,1,1,4,0.12,2,0,0,1,1,0,Matches
81,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,26,1998,5.0,8,1.60,7,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
82,Carles Aleñá,es ESP,"MF,FW",Alavés,es La Liga,26,1998,12.1,44,3.64,27,7,3,3,4,0,4,0.33,2,1,0,0,1,0,Matches
83,Ben Alexander Voll,de GER,GK,St. Pauli,de Bundesliga,23,2000,1.0,1,0.99,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
84,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,25,1998,26.3,98,3.73,74,15,5,4,0,0,10,0.38,9,1,0,0,0,0,Matches
85,Alfon,es ESP,"FW,MF",Celta Vigo,es La Liga,25,1999,15.2,59,3.87,32,0,12,9,6,0,7,0.46,4,0,0,2,1,0,Matches
86,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,fr Ligue 1,20,2004,18.0,59,3.28,45,3,5,1,5,0,11,0.61,8,0,1,1,1,0,Matches
87,Faride Alidou,de GER,"FW,MF",Hellas Verona,it Serie A,23,2001,0.8,2,2.54,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
88,Alisson,br BRA,GK,Liverpool,eng Premier League,31,1992,27.9,7,0.25,7,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
89,Tadeo Allende,ar ARG,FW,Celta Vigo,es La Liga,25,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
90,Jim Allevinah,ga GAB,FW,Angers,fr Ligue 1,29,1995,19.4,39,2.00,25,1,3,6,3,1,7,0.36,4,0,0,2,1,0,Matches
91,Dele Alli,eng ENG,MF,Como,it Serie A,28,1996,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
92,Thiago Almada,ar ARG,"MF,FW",Lyon,fr Ligue 1,23,2001,10.6,52,4.92,39,8,1,3,1,0,11,1.04,10,0,0,0,1,0,Matches
93,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,es La Liga,24,2000,22.0,86,3.92,54,17,1,3,9,2,6,0.27,5,1,0,0,0,0,Matches
94,Iker Almena,es ESP,"FW,DF",Girona,es La Liga,20,2004,0.5,3,5.63,2,0,1,0,0,0,2,3.75,1,0,1,0,0,0,Matches
95,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,30,1994,1.7,8,4.59,6,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
96,Pontus Almqvist,se SWE,"FW,MF",Parma,it Serie A,25,1999,12.4,26,2.10,15,0,5,3,3,0,2,0.16,2,0,0,0,0,0,Matches
97,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,33,1990,29.4,46,1.56,38,3,1,3,0,1,6,0.20,6,0,0,0,0,0,Matches
98,Giorgio Altare,it ITA,DF,Venezia,it Serie A,25,1998,8.4,5,0.60,3,0,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
99,Adrià Altimira,es ESP,"DF,FW",Leganés,es La Liga,23,2001,18.1,21,1.16,14,1,1,0,5,0,1,0.06,1,0,0,0,0,0,Matches
100,Sergi Altimira,es ESP,MF,Betis,es La Liga,22,2001,21.9,52,2.37,40,0,3,2,1,6,1,0.05,1,0,0,0,0,0,Matches
101,Olabade Aluko,,DF,Leicester City,eng Premier League,,,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
102,Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,26,1997,19.7,28,1.42,24,0,2,1,1,0,2,0.10,2,0,0,0,0,0,Matches
103,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,es La Liga,21,2003,17.5,46,2.63,38,0,5,3,0,0,9,0.52,7,0,2,0,0,0,Matches
104,Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,24,2000,27.9,108,3.87,76,9,9,9,2,3,15,0.54,10,1,0,3,0,1,Matches
105,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,29,1995,19.8,18,0.91,15,0,0,0,0,3,2,0.10,2,0,0,0,0,0,Matches
106,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,22,2002,2.6,2,0.76,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
107,Will Alves,eng ENG,FW,Leicester City,eng Premier League,19,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
108,Selim Amallah,ma MAR,MF,Valladolid,es La Liga,27,1996,15.3,32,2.09,16,8,6,1,0,1,1,0.07,1,0,0,0,0,0,Matches
109,Harry Amass,eng ENG,DF,Manchester Utd,eng Premier League,17,2007,3.8,8,2.08,7,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
110,Amath,sn SEN,"FW,DF",Valladolid,es La Liga,28,1996,4.2,13,3.11,10,0,2,1,0,0,1,0.24,1,0,0,0,0,0,Matches
111,Jordan Amavi,fr FRA,DF,Brest,fr Ligue 1,30,1994,8.8,14,1.59,13,0,0,1,0,0,1,0.11,1,0,0,0,0,0,Matches
112,Aurele Amenda,ch SUI,DF,Eint Frankfurt,de Bundesliga,21,2003,1.1,2,1.86,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
113,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,26,1998,24.1,38,1.58,26,7,1,1,2,1,1,0.04,1,0,0,0,0,0,Matches
114,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,28,1996,27.1,47,1.74,39,2,3,2,0,1,6,0.22,5,0,1,0,0,0,Matches
115,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,27,1996,27.5,119,4.33,74,30,6,5,3,1,15,0.55,13,0,0,2,0,0,Matches
116,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,eng Premier League,18,2006,0.3,2,6.43,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
117,Samuel Amo-Ameyaw,eng ENG,"DF,MF",Strasbourg,fr Ligue 1,18,2006,3.6,14,3.93,9,1,2,2,0,0,1,0.28,1,0,0,0,0,0,Matches
118,Mathis Amougou,fr FRA,MF,Chelsea,eng Premier League,18,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
119,Mathis Amougou,fr FRA,MF,Saint-Étienne,fr Ligue 1,18,2006,9.5,17,1.78,14,0,2,1,0,0,0,0.00,0,0,0,0,0,0,Matches
120,Mohamed Amoura,dz ALG,FW,Wolfsburg,de Bundesliga,24,2000,27.4,80,2.92,56,2,6,10,4,2,13,0.47,12,0,1,0,0,0,Matches
121,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,27,1996,2.0,4,2.00,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
122,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,28,1996,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
123,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,28,1996,28.7,35,1.23,27,1,0,7,0,0,2,0.07,1,1,0,0,0,0,Matches
124,Elliot Anderson,eng ENG,MF,Nott'ham Forest,eng Premier League,21,2002,30.3,87,2.87,43,20,7,8,4,5,10,0.33,4,3,0,1,1,1,Matches
125,André,br BRA,MF,Wolves,eng Premier League,23,2001,27.5,49,1.78,41,3,1,0,0,4,3,0.11,2,1,0,0,0,0,Matches
126,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,33,1990,29.9,53,1.77,46,0,0,2,4,1,9,0.30,6,0,0,2,1,0,Matches
127,Marcos André,br BRA,FW,Valladolid,es La Liga,27,1996,13.2,19,1.44,15,0,3,0,1,0,1,0.08,1,0,0,0,0,0,Matches
128,Robert Andrich,de GER,"MF,DF",Leverkusen,de Bundesliga,29,1994,17.8,33,1.86,25,0,1,5,1,1,4,0.23,3,0,0,1,0,0,Matches
129,Angeliño,es ESP,DF,Roma,it Serie A,27,1997,35.3,89,2.52,68,14,2,1,4,0,7,0.20,6,0,0,0,1,0,Matches
130,Lorenzo Anghelè,it ITA,FW,Juventus,it Serie A,19,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
131,Faustino Anjorin,eng ENG,MF,Empoli,it Serie A,22,2001,12.4,32,2.59,24,1,3,1,2,1,5,0.40,4,0,0,0,0,1,Matches
132,Waldemar Anton,de GER,DF,Dortmund,de Bundesliga,28,1996,21.7,41,1.90,32,0,6,2,0,1,5,0.23,4,0,0,1,0,0,Matches
133,Leandro Antonetti,pr PUR,FW,Sevilla,es La Liga,21,2003,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
134,Kyllian Antonio,fr FRA,"DF,MF",Lens,fr Ligue 1,16,2008,1.5,1,0.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
135,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,34,1990,9.3,22,2.37,14,0,1,5,1,1,4,0.43,0,0,0,4,0,0,Matches
136,Antoniu,es ESP,"FW,MF",Espanyol,es La Liga,21,2002,11.4,24,2.11,11,0,6,0,5,2,1,0.09,1,0,0,0,0,0,Matches
137,Antony,br BRA,"DF,MF",Manchester Utd,eng Premier League,24,2000,1.6,8,5.11,6,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
138,Antony,br BRA,FW,Betis,es La Liga,24,2000,15.1,77,5.09,61,4,5,4,3,0,9,0.60,6,0,1,2,0,0,Matches
139,Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,29,1995,19.1,25,1.31,17,1,2,0,5,0,4,0.21,1,0,2,0,1,0,Matches
140,Dennis Appiah,fr FRA,DF,Saint-Étienne,fr Ligue 1,32,1992,23.6,38,1.61,32,3,2,0,0,1,3,0.13,2,1,0,0,0,0,Matches
141,Aritz Arambarri,es ESP,DF,Leganés,es La Liga,26,1998,2.0,1,0.51,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
142,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,28,1995,29.6,54,1.83,34,0,3,6,9,2,3,0.10,1,0,0,2,0,0,Matches
143,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,22,2002,27.3,33,1.21,26,3,1,0,1,2,2,0.07,2,0,0,0,0,0,Matches
144,Julian Araujo,mx MEX,DF,Bournemouth,eng Premier League,22,2001,5.5,5,0.91,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
145,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,25,1999,8.4,12,1.43,11,0,0,1,0,0,2,0.24,1,0,0,1,0,0,Matches
146,Cameron Archer,eng ENG,FW,Southampton,eng Premier League,23,2001,16.0,20,1.25,10,0,4,5,1,0,0,0.00,0,0,0,0,0,0,Matches
147,Carlens Arcus,ht HAI,DF,Angers,fr Ligue 1,28,1996,22.7,37,1.63,32,1,1,0,1,2,3,0.13,2,0,0,0,1,0,Matches
148,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,31,1993,25.1,3,0.12,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
149,Adu Ares,es ESP,FW,Athletic Club,es La Liga,22,2001,0.2,1,4.74,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
150,Jesús Areso,es ESP,DF,Osasuna,es La Liga,25,1999,34.2,73,2.13,55,12,2,1,3,0,9,0.26,7,2,0,0,0,0,Matches
151,David Argüelles,es ESP,MF,Getafe,es La Liga,22,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
152,Joe Aribo,ng NGA,"MF,DF",Southampton,eng Premier League,28,1996,22.4,37,1.66,32,0,2,1,2,0,1,0.04,1,0,0,0,0,0,Matches
153,Adam Armstrong,eng ENG,"FW,MF",Southampton,eng Premier League,27,1997,13.9,19,1.37,12,1,2,4,0,0,4,0.29,1,0,0,3,0,0,Matches
154,Harrison Armstrong,eng ENG,MF,Everton,eng Premier League,17,2007,0.5,1,1.87,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
155,José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,29,1995,1.5,9,6.04,6,1,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
156,Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,fr Ligue 1,21,2003,19.5,70,3.59,49,12,1,4,3,1,7,0.36,5,1,0,1,0,0,Matches
157,Marko Arnautović,at AUT,FW,Inter,it Serie A,35,1989,5.9,15,2.46,15,0,0,0,0,0,2,0.33,2,0,0,0,0,0,Matches
158,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,30,1994,26.2,83,3.17,47,31,1,1,3,0,10,0.38,3,7,0,0,0,0,Matches
159,Jann-Fiete Arp,de GER,"FW,MF",Holstein Kiel,de Bundesliga,24,2000,7.9,33,4.17,18,4,2,3,5,1,3,0.38,1,1,0,1,0,0,Matches
160,Sergio Arribas,es ESP,DF,Betis,es La Liga,21,2003,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
161,Kepa Arrizabalaga,es ESP,GK,Bournemouth,eng Premier League,29,1994,31.0,4,0.13,2,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
162,Arthur,br BRA,DF,Leverkusen,de Bundesliga,21,2003,8.4,7,0.84,7,0,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches
163,Takuma Asano,jp JPN,"FW,MF",Mallorca,es La Liga,29,1994,11.7,22,1.88,16,0,2,2,2,0,2,0.17,2,0,0,0,0,0,Matches
164,Raúl Asencio,es ESP,DF,Real Madrid,es La Liga,21,2003,18.6,12,0.65,11,0,1,0,0,0,1,0.05,1,0,0,0,0,0,Matches
165,Marco Asensio,es ESP,MF,Aston Villa,eng Premier League,28,1996,8.3,35,4.24,22,7,1,1,3,1,3,0.36,2,0,0,1,0,0,Matches
166,Marco Asensio,es ESP,"FW,MF",Paris S-G,fr Ligue 1,28,1996,6.9,37,5.39,27,2,2,6,0,0,7,1.02,7,0,0,0,0,0,Matches
