,Player,Squad,Pos,GCA90,SCA90
474,Maxence Caqueret,Lyon,MF,0.16,2.2
475,Simon Cara,Montpellier,"MF,FW",0.0,0.0
476,Andrea Carboni,Monza,DF,0.08,0.45
477,Franco Carboni,Venezia,DF,0.4,2.0
478,Valentin Carboni,Marseille,"MF,FW",0.0,4.37
479,Dani Cárdenas,Rayo Vallecano,GK,0.0,0.17
480,Irvin Cardona,Espanyol,"FW,MF",0.45,2.97
481,Irvin Cardona,Saint-Étienne,FW,0.28,2.31
482,Marc Cardona,Las Palmas,"FW,DF",0.0,2.73
483,Sergi Cardona,Villarreal,DF,0.4,2.41
484,Johnny Cardoso,Betis,MF,0.04,1.47
485,Tiago Cardoso,Gladbach,GK,0.0,0.0
486,Patrik Carlgren,Nantes,GK,0.0,0.0
487,Diego Carlos,Aston Villa,DF,0.0,0.43
488,José Carlos González,Las Palmas,DF,0.0,0.0
489,Carmona,Sevilla,DF,0.03,1.65
490,Marco Carnesecchi,Atalanta,GK,0.03,0.15
491,Sergio Carreira,Celta Vigo,"MF,DF",0.22,1.96
492,Dani Carvajal,Real Madrid,DF,0.3,1.77
493,Fabio Carvalho,Brentford,"FW,MF",0.2,1.97
494,William Carvalho,Betis,MF,0.0,2.6
495,Cesare Casadei,Torino,MF,0.18,1.68
496,Marc Casado,Barcelona,MF,0.34,2.51
497,Nicolò Casale,Bologna,DF,0.2,1.2
498,Nicolò Casale,Lazio,DF,0.0,0.0
499,Casemiro,Manchester Utd,MF,0.24,3.19
500,Kaelan Casey,West Ham,DF,0.0,0.0
501,Matty Cash,Aston Villa,DF,0.17,1.09
502,Eiran Cashin,Brighton,DF,0.0,4.5
503,Josué Casimir,Le Havre,"FW,MF",0.36,2.7
504,Federico Cassa,Atalanta,"MF,FW",0.0,6.43
505,Cristian Cásseres Jr.,Toulouse,MF,0.17,2.57
506,Timothy Castagne,Fulham,DF,0.16,1.36
507,Valentín Castellanos,Lazio,FW,0.53,2.76
508,Jean-Charles Castelletto,Nantes,"DF,MF",0.07,0.69
509,Santiago Castro,Bologna,FW,0.43,2.71
510,Gaetano Castrovilli,Monza,MF,0.3,2.27
511,Gaetano Castrovilli,Lazio,"MF,FW",0.0,1.84
512,Danilo Cataldi,Fiorentina,MF,0.05,1.68
513,Catena,Osasuna,DF,0.18,0.85
514,Maximiliano Caufriez,Valencia,DF,0.0,0.0
515,Enzo Caumont,Angers,MF,0.0,0.0
516,Dani Ceballos,Real Madrid,MF,0.37,4.22
517,Abdoulie Ceesay,St. Pauli,FW,0.0,1.48
518,Zeki Çelik,Roma,DF,0.16,1.51
519,Fabien Centonze,Nantes,DF,0.0,2.72
520,Alberto Cerri,Como,FW,0.0,1.03
521,Franco Cervi,Celta Vigo,"FW,MF",0.0,1.65
522,Julian Chabot,Stuttgart,DF,0.08,0.95
523,El Chadaille Bitshiabu,RB Leipzig,DF,0.08,1.11
524,Fares Chaïbi,Eint Frankfurt,"MF,FW",0.62,4.43
525,Trevoh Chalobah,Crystal Palace,DF,0.0,0.93
526,Trevoh Chalobah,Chelsea,DF,0.3,1.29
527,Timothy Chandler,Eint Frankfurt,DF,0.0,3.75
528,Conor Chaplin,Ipswich Town,"MF,FW",0.11,2.32
529,Brendan Chardonnet,Brest,DF,0.15,0.89
530,Gabriel Charpentier,Parma,FW,0.99,3.64
531,Raúl Chasco,Valladolid,DF,0.69,1.38
532,Anrie Chase,Stuttgart,DF,0.0,0.98
533,Pep Chavarría,Rayo Vallecano,"DF,FW",0.07,2.12
534,Arthur Chaves,Hoffenheim,DF,0.04,0.95
535,Jhoanner Chávez,Lens,"DF,MF",0.0,2.27
536,Walid Cheddira,Napoli,FW,0.0,7.5
537,Walid Cheddira,Espanyol,FW,0.7,2.81
538,Chema,Real Madrid,MF,0.0,0.0
539,Théo Chennahi,Montpellier,DF,0.0,0.5
540,Sidiki Cherif,Angers,FW,0.0,1.11
541,Rayan Cherki,Lyon,"FW,MF",0.88,6.44
542,Youssef Chermiti,Everton,"FW,MF",0.0,0.0
543,Lucas Chevalier,Lille,GK,0.03,0.18
544,Fabio Chiarodia,Gladbach,DF,0.0,0.47
545,Julián Chicco,Leganés,"MF,DF",0.3,1.49
546,Leandro Chichizola,Parma,GK,0.0,2.0
547,Federico Chiesa,Liverpool,FW,0.83,5.0
548,Ben Chilwell,Crystal Palace,DF,0.0,2.77
549,Chiquinho,Wolves,MF,0.0,25.71
550,Chiquinho,Mallorca,"MF,FW",0.61,4.29
551,Pedro Chirivella,Nantes,MF,0.23,2.11
552,Joris Chotard,Montpellier,MF,0.0,1.2
553,Hamza Choudhury,Leicester City,"MF,DF",0.0,2.05
554,Andreas Christensen,Barcelona,DF,0.0,0.35
555,Ryan Christie,Bournemouth,MF,0.38,3.62
556,Carney Chukwuemeka,Dortmund,MF,1.42,7.11
557,Samuel Chukwueze,Milan,"FW,MF",0.19,4.77
558,Aaron Ciammaglichella,Torino,MF,0.0,0.0
559,Jasper Cillessen,Las Palmas,GK,0.0,0.04
560,Giuseppe Ciocci,Cagliari,GK,0.0,0.0
561,Alessandro Circati,Parma,DF,0.0,0.5
562,Pathé Ciss,Rayo Vallecano,"MF,DF",0.08,1.98
563,Alphadjo Cissè,Hellas Verona,"FW,MF",0.0,10.0
564,Djaoui Cissé,Rennes,MF,0.08,2.17
565,Seydouba Cissé,Leganés,MF,0.18,1.74
566,Yoann Cissé,Auxerre,MF,0.0,0.0
567,Patrick Ciurria,Monza,"MF,DF",0.16,2.11
568,Harry Clarke,Ipswich Town,DF,0.0,0.24
569,Jack Clarke,Ipswich Town,"FW,MF",0.38,3.81
570,Alexis Claude-Maurice,Augsburg,"MF,FW",0.26,3.29
571,Jonathan Clauss,Nice,"DF,MF",0.59,3.87
572,Silvi Clúa,Girona,MF,0.0,1.1
573,Nathaniel Clyne,Crystal Palace,"DF,MF",0.0,0.56
574,Conor Coady,Leicester City,DF,0.0,0.32
575,Marcus Coco,Nantes,DF,0.09,1.89
576,Saúl Coco,Torino,DF,0.03,0.51
577,Séamus Coleman,Everton,DF,0.42,0.84
578,Nathan Collins,Brentford,DF,0.21,0.79
579,Nnamdi Collins,Eint Frankfurt,DF,0.18,0.54
580,Toby Collyer,Manchester Utd,MF,0.0,2.5
581,Lorenzo Colombo,Empoli,"FW,MF",0.12,2.21
582,Andrea Colpani,Fiorentina,"FW,MF",0.31,2.7
583,Levi Colwill,Chelsea,DF,0.09,1.09
584,Florinel Coman,Cagliari,"FW,MF",0.34,1.37
585,Kingsley Coman,Bayern Munich,FW,0.77,5.68
586,Eray Cömert,Valladolid,"DF,MF",0.0,0.61
587,Santi Comesaña,Villarreal,MF,0.39,2.74
588,Pietro Comuzzo,Fiorentina,DF,0.04,0.82
589,Francisco Conceição,Juventus,"FW,MF",0.6,4.3
590,Diego Conde,Villarreal,GK,0.05,0.14
591,Tomás Conechny,Alavés,"FW,MF",0.0,1.48
592,Alois Confais,Le Havre,MF,0.0,0.0
593,Sirlord Conteh,Heidenheim,"FW,MF",0.4,2.82
594,Lewis Cook,Bournemouth,"MF,DF",0.15,2.69
595,Copete,Mallorca,DF,0.06,0.59
596,Diego Coppola,Hellas Verona,DF,0.03,0.31
597,Francis Coquelin,Nantes,MF,0.81,5.27
598,Iker Córdoba,Valencia,DF,0.0,6.43
599,Derek Cornelius,Marseille,DF,0.0,0.57
600,Maxwel Cornet,Southampton,FW,0.0,0.0
601,Maxwel Cornet,Genoa,"FW,MF",0.37,2.93
602,Pierre Cornud,Saint-Étienne,DF,0.0,0.78
603,Ángel Correa,Atlético Madrid,"FW,MF",0.56,3.92
604,Joaquín Correa,Inter,"FW,MF",0.49,3.07
605,Thierry Correia,Valencia,DF,0.0,1.87
606,Alberto costa,Juventus,DF,0.25,1.76
607,Coba da Costa,Getafe,"MF,FW",0.36,3.31
608,Danny da Costa,Mainz 05,DF,0.13,1.39
609,David Costa,Lens,"MF,FW",0.26,2.05
610,Logan Costa,Villarreal,DF,0.07,0.76
611,Logan Costa,Toulouse,DF,0.0,1.0
612,Samu Costa,Mallorca,MF,0.2,1.9
613,Grégoire Coudert,Brest,GK,0.0,0.5
614,Vladimír Coufal,West Ham,DF,0.08,1.52
615,Lassana Coulibaly,Lecce,MF,0.07,1.55
616,Lasso Coulibaly,Auxerre,"FW,MF",0.0,2.05
617,Mamadou Coulibaly,Monaco,MF,0.0,0.0
618,Soumaïla Coulibaly,Brest,DF,0.62,1.64
619,Tanguy Coulibaly,Montpellier,"FW,MF",0.19,2.9
620,Woyo Coulibaly,Leicester City,DF,0.0,0.0
621,Woyo Coulibaly,Parma,DF,0.25,1.58
622,Marius Courcoul,Angers,"MF,DF",0.0,0.87
623,Thibaut Courtois,Real Madrid,GK,0.0,0.13
624,Yan Couto,Dortmund,"DF,FW",0.2,2.92
625,Nicolas Cozza,Nantes,"DF,MF",0.09,0.88
626,Aaron Cresswell,West Ham,DF,0.0,1.64
627,Charlie Cresswell,Toulouse,DF,0.1,0.83
628,Bryan Cristante,Roma,MF,0.22,2.24
629,Domen Črnigoj,Venezia,MF,0.0,1.32
630,Juan Cruz Armada,Osasuna,DF,0.06,0.84
631,Juan Cruz,Leganés,"FW,MF",0.24,2.03
632,Juan Cuadrado,Atalanta,"DF,MF",0.32,4.0
633,Pau Cubarsí,Barcelona,DF,0.21,1.2
634,Cucho,Betis,FW,0.63,3.64
635,Marc Cucurella,Chelsea,DF,0.15,1.54
636,Jorge Cuenca,Fulham,DF,0.0,0.26
637,Matheus Cunha,Wolves,"MF,FW",0.55,4.57
638,Patrick Cutrone,Como,FW,0.26,2.15
639,Tomáš Čvančara,Gladbach,FW,0.11,1.62
640,Wylan Cyprien,Parma,MF,0.0,0.0
641,Danilo D'Ambrosio,Monza,DF,0.08,0.66
642,Lucas Da Cunha,Como,MF,0.24,3.79
643,Samuel Dahl,Roma,"DF,MF",0.0,2.09
644,Finn Dahmen,Augsburg,GK,0.05,0.11
645,Thomas Dähne,Holstein Kiel,GK,0.0,0.11
646,Mahmoud Dahoud,Eint Frankfurt,MF,0.49,3.21
647,Patson Daka,Leicester City,"FW,MF",0.12,1.23
648,Ameen Al-Dakhil,Stuttgart,DF,0.0,0.83
649,Thijs Dallinga,Bologna,FW,0.39,2.11
650,Diogo Dalot,Manchester Utd,DF,0.16,2.37
651,Mikkel Damsgaard,Brentford,"MF,FW",0.65,3.71
652,Maat Daniel Caprini,Fiorentina,FW,0.0,0.0
653,Flavius Daniliuc,Hellas Verona,DF,0.0,0.98
654,Danilo,Nott'ham Forest,"MF,FW",0.66,2.31
655,Danilo,Juventus,DF,0.15,1.55
656,Arnaut Danjuma,Villarreal,FW,0.0,0.9
657,Arnaut Danjuma,Girona,"FW,MF",0.0,2.7
658,Jayden Danns,Liverpool,MF,0.0,0.0
659,Kévin Danois,Auxerre,MF,0.37,3.33
660,Kevin Danso,Tottenham,DF,0.21,0.96
661,Kevin Danso,Lens,DF,0.08,1.0
662,Dante,Nice,DF,0.0,0.96
663,Pape Daouda Diongue,Strasbourg,"MF,FW",0.0,1.15
664,Mohamed Daramy,Reims,FW,5.63,11.25
665,Bence Dárdai,Wolfsburg,MF,0.14,1.66
666,Sergi Darder,Mallorca,"MF,FW",0.23,3.15
667,Matteo Darmian,Inter,DF,0.2,1.72
668,Lukas Daschner,Bochum,"MF,FW",0.22,2.18
669,Juan David Cabal,Juventus,DF,0.59,0.59
670,Jonathan David,Lille,FW,0.28,2.61
671,Alphonso Davies,Bayern Munich,DF,0.46,3.52
672,Ben Davies,Tottenham,DF,0.0,0.54
673,Keinan Davis,Udinese,FW,0.17,2.95
674,Leif Davis,Ipswich Town,DF,0.13,3.05
675,Zuriko Davitashvili,Saint-Étienne,"FW,MF",0.5,3.85
676,Paweł Dawidowicz,Hellas Verona,"DF,MF",0.05,0.39
677,Craig Dawson,Wolves,DF,0.19,0.65
678,Kevin De Bruyne,Manchester City,"MF,FW",0.58,5.97
679,Bobby De Cordova-Reid,Leicester City,FW,0.36,1.57
680,Charles De Ketelaere,Atalanta,"MF,FW",0.61,3.83
681,Rodrigo De Paul,Atlético Madrid,MF,0.56,3.84
682,Théo De Percin,Auxerre,GK,0.0,0.0
683,Mattia De Sciglio,Empoli,DF,0.0,0.94
684,Lorenzo De Silvestri,Bologna,DF,0.17,1.19
685,Thibault De Smet,Reims,DF,0.0,0.0
686,Koni De Winter,Genoa,DF,0.04,0.63
687,Amar Dedić,Marseille,DF,0.29,4.01
688,Alessandro Deiola,Cagliari,MF,0.19,1.63
689,Romain Del Castillo,Brest,FW,0.64,4.79
690,Enrico Del Prato,Parma,DF,0.03,0.98
691,Thomas Delaine,Strasbourg,DF,0.0,0.0
692,Liam Delap,Ipswich Town,FW,0.24,2.15
693,Fisayo Dele-Bashiru,Lazio,"MF,FW",0.09,2.28
694,Andy Delort,Montpellier,FW,0.17,2.09
695,Olivier Deman,Werder Bremen,DF,0.0,1.34
696,Ali Dembélé,Torino,DF,0.0,1.62
697,Ousmane Dembélé,Paris S-G,FW,0.78,5.72
698,Ermedin Demirović,Stuttgart,FW,0.34,2.28
699,Sepp van den Berg,Brentford,DF,0.07,0.77
700,Rémy Descamps,Lyon,GK,0.0,0.0
701,Arthur Desmas,Le Havre,GK,0.0,0.17
702,Justin Devenny,Crystal Palace,MF,0.18,2.66
703,Kiernan Dewsbury-Hall,Chelsea,"MF,FW",0.34,1.7
704,Michele Di Gregorio,Juventus,GK,0.0,0.06
705,Giovanni Di Lorenzo,Napoli,DF,0.22,2.16
706,Boulaye Dia,Lazio,"MF,FW",0.33,2.27
707,Mouctar Diakhaby,Valencia,DF,0.14,0.55
708,Mamadou Diakhon,Reims,"FW,MF",0.21,3.88
709,Bafodé Diakité,Lille,DF,0.1,0.62
710,Oumar Diakité,Reims,FW,0.22,2.16
711,Amad Diallo,Manchester Utd,"MF,FW",0.85,4.59
712,Assane Diao,Como,"FW,MF",0.29,2.23
713,Assane Diao,Betis,FW,0.65,2.28
714,Habib Diarra,Strasbourg,"MF,FW",0.31,2.18
715,Moussa Diarra,Alavés,DF,0.19,0.87
716,Rúben Dias,Manchester City,DF,0.04,1.03
717,Krépin Diatta,Monaco,"DF,FW",0.0,1.77
718,Kandet Diawara,Le Havre,FW,0.0,0.0
719,Mahamadou Diawara,Le Havre,MF,0.15,2.16
720,Mahamadou Diawara,Lyon,MF,0.0,0.0
721,Brahim Díaz,Real Madrid,"FW,MF",0.78,3.64
722,Daniel Díaz,Real Sociedad,MF,0.0,0.0
723,Luis Díaz,Liverpool,FW,0.6,4.39
724,Pedro Díaz,Rayo Vallecano,MF,0.37,3.72
725,Tyler Dibling,Southampton,"FW,MF",0.19,2.69
726,Diego,Leganés,FW,0.08,0.9
727,Justin Diehl,Stuttgart,"FW,DF",0.0,3.46
728,Bamba Dieng,Angers,FW,0.17,1.02
729,Eric Dier,Bayern Munich,DF,0.12,0.8
730,Lucas Digne,Aston Villa,DF,0.19,2.53
731,Kembo Diliwidi,Lens,DF,0.0,0.0
732,Federico Dimarco,Inter,"DF,FW",0.58,4.0
733,Stole Dimitrievski,Valencia,GK,0.0,0.0
734,Junior Dina Ebimbe,Eint Frankfurt,"MF,FW",0.31,1.85
735,Eren Dinkçi,Freiburg,"MF,FW",0.38,3.23
736,Sinaly Diomande,Auxerre,DF,0.23,0.97
737,Yan Diomandé,Leganés,"MF,FW",0.83,6.11
738,Lois Diony,Angers,FW,0.0,0.0
739,Issa Diop,Fulham,DF,0.0,0.4
740,Sérigné Diop,Brest,FW,0.0,0.0
741,Sofiane Diop,Nice,"MF,FW",0.76,3.98
742,Andy Diouf,Lens,MF,0.12,3.44
743,Yehvann Diouf,Reims,GK,0.0,0.21
744,Assane Dioussé,Auxerre,MF,0.14,1.76
745,Axel Disasi,Aston Villa,DF,0.0,1.65
746,Axel Disasi,Chelsea,DF,0.0,0.49
747,Roman Dixon,Everton,DF,0.0,0.0
748,Álvaro djaló,Athletic Club,FW,0.14,1.64
749,Djené,Getafe,"DF,MF",0.04,0.74
750,Nasser Djiga,Wolves,DF,0.0,0.0
751,Berat Djimsiti,Atalanta,DF,0.24,1.02
752,Marko Dmitrović,Leganés,GK,0.0,0.19
753,Ritsu Doan,Freiburg,"FW,MF",0.5,3.49
754,Dodô,Fiorentina,DF,0.32,2.17
755,Danilho Doekhi,Union Berlin,DF,0.12,0.94
756,Matt Doherty,Wolves,DF,0.13,1.07
757,Jeremy Doku,Manchester City,"FW,MF",0.83,4.69
758,Marc Domenech,Mallorca,"FW,MF",0.0,2.09
759,Álex Domínguez,Toulouse,GK,0.0,0.0
760,Benjamín Domínguez,Bologna,FW,0.49,2.88
761,Carlos Dominguez,Celta Vigo,DF,0.0,0.46
762,Israel Domínguez,Sevilla,FW,0.0,0.0
763,Nicolás Domínguez,Nott'ham Forest,"MF,FW",0.0,1.74
764,Sergi Dominguez,Barcelona,DF,0.0,0.0
765,Gianluigi Donnarumma,Paris S-G,GK,0.0,0.09
766,Patrick Dorgu,Manchester Utd,DF,0.11,2.57
767,Patrick Dorgu,Lecce,"DF,FW",0.34,2.84
768,Alfie Dorrington,Tottenham,DF,0.0,0.0
769,Niklas Dorsch,Augsburg,MF,0.0,2.81
770,Niklas Dorsch,Heidenheim,MF,0.13,2.36
771,Alberto Dossena,Como,DF,0.1,0.54
772,Abdoulaye Doucouré,Everton,MF,0.11,2.04
773,Cheick Doucouré,Crystal Palace,MF,0.6,1.79
774,Sékou Doucoure,Nantes,DF,0.0,0.0
775,Désiré Doué,Paris S-G,"FW,MF",1.25,5.66
776,Guela Doué,Strasbourg,DF,0.17,1.46
777,Douglas,Nantes,MF,0.12,1.33
778,Ismaël Doukouré,Strasbourg,"DF,MF",0.14,0.75
779,Issa Doumbia,Venezia,MF,0.19,1.63
780,Kamory Doumbia,Brest,"MF,FW",0.48,3.95
781,Amidou Doumbouya,Nice,DF,0.0,0.0
782,Anastasios Douvikas,Como,FW,0.16,2.95
783,Anastasios Douvikas,Celta Vigo,FW,0.13,1.41
784,Artem Dovbyk,Roma,FW,0.22,1.94
785,Flynn Downes,Southampton,MF,0.08,1.3
786,Tommy Doyle,Wolves,MF,0.55,3.13
787,Radu Drăgușin,Tottenham,DF,0.07,0.58
788,Patrick Drewes,Bochum,GK,0.0,0.1
789,Tim Drexler,Hoffenheim,DF,0.25,1.51
790,Domingos Duarte,Getafe,DF,0.0,0.44
791,Martin Dúbravka,Newcastle Utd,GK,0.0,0.0
792,Marvin Ducksch,Werder Bremen,FW,0.45,3.83
793,Ondrej Duda,Hellas Verona,MF,0.26,2.74
794,Duk,Leganés,"MF,FW",0.51,3.54
795,Denzel Dumfries,Inter,"DF,FW",0.18,2.53
796,Alfred Duncan,Venezia,MF,0.19,3.01
797,Lewis Dunk,Brighton,DF,0.13,0.82
798,Jáder Durán,Aston Villa,FW,0.14,2.54
799,Pablo Durán,Celta Vigo,"FW,MF",0.26,1.94
800,Julien Duranville,Dortmund,"FW,MF",0.32,2.21
801,Hugo Duro,Valencia,FW,0.21,1.2
802,Jean-Kevin Duverne,Nantes,DF,0.0,0.84
803,Paulo Dybala,Roma,"FW,MF",0.51,5.34
804,Stefan Džodić,Montpellier,"DF,MF",0.0,0.74
805,Adam Dźwigała,St. Pauli,"DF,MF",0.0,1.21
806,Aron Dønnum,Toulouse,"DF,MF",0.37,3.08
807,Enzo Ebosse,Udinese,DF,0.0,3.0
808,Tyronne Ebuehi,Empoli,"DF,MF",0.0,1.23
809,Claudio Echeverri,Manchester City,FW,0.0,0.0
810,Ederson,Manchester City,GK,0.16,0.23
811,Éderson,Atalanta,MF,0.31,3.06
812,Noah Edjouma,Toulouse,"MF,FW",0.0,2.62
813,George Edmundson,Ipswich Town,DF,0.0,0.0
814,Odsonne Édouard,Crystal Palace,"MF,FW",0.0,0.78
815,Odsonne Édouard,Leicester City,FW,0.0,6.21
816,Samuel Edozie,Southampton,"DF,FW",0.0,5.54
817,Ronnie Edwards,Southampton,DF,0.0,0.0
818,Johannes Eggestein,St. Pauli,FW,0.19,2.09
819,Maximilian Eggestein,Freiburg,MF,0.16,1.61
820,Kingsley Ehizibue,Udinese,DF,0.07,1.84
821,Chidera Ejuke,Sevilla,FW,0.19,4.19
822,Jeff Ekhator,Genoa,"FW,MF",0.23,2.46
823,Hugo Ekitike,Eint Frankfurt,FW,0.42,3.55
824,Jurgen Ekkelenkamp,Udinese,MF,0.29,1.81
825,Jacques Ekomie,Angers,"DF,FW",0.13,0.52
826,Emmanuel Ekong,Empoli,"MF,FW",0.0,2.9
827,Caleb Ekuban,Genoa,FW,0.49,2.27
828,Pierre Ekwah Elimby,Saint-Étienne,MF,0.14,1.45
829,Anthony Elanga,Nott'ham Forest,"FW,MF",0.65,3.67
830,Meschak Elia,Nantes,FW,0.0,3.18
831,Mikael Ellertsson,Venezia,"DF,MF",0.18,1.68
832,Harvey Elliott,Liverpool,MF,0.73,5.11
833,Elif Elmas,Torino,"FW,MF",0.26,2.56
834,Elif Elmas,RB Leipzig,MF,0.0,2.05
835,Aritz Elustondo,Real Sociedad,DF,0.06,0.68
836,Nico Elvedi,Gladbach,DF,0.17,0.67
837,Adri Embarba,Rayo Vallecano,"FW,MF",0.11,2.58
838,Breel Embolo,Monaco,"FW,MF",0.49,2.64
839,Emanuel Emegha,Strasbourg,FW,0.16,1.26
840,Emerson,Milan,DF,0.07,2.16
841,Yunus Emre Konak,Brentford,"FW,MF",0.0,0.0
842,Julio Enciso,Ipswich Town,"MF,FW",0.41,3.0
843,Julio Enciso,Brighton,"MF,FW",0.0,3.69
844,Wataru Endo,Liverpool,"MF,DF",0.0,1.96
845,Endrick,Real Madrid,FW,0.49,1.96
846,Yannik Engelhardt,Como,"MF,DF",0.15,1.86
847,Arne Engels,Augsburg,"MF,FW",0.0,1.14
848,Christian Eriksen,Manchester Utd,MF,0.59,4.74
849,Martin Erlic,Bologna,DF,0.27,1.08
850,Patrick Erras,Holstein Kiel,DF,0.0,0.87
851,Alfonso Espino,Rayo Vallecano,DF,0.11,1.4
852,Sebastiano Esposito,Empoli,"FW,MF",0.23,3.05
853,Romain Esse,Crystal Palace,MF,1.94,5.18
854,Samuel Essende,Augsburg,FW,0.16,1.48
855,Dario Essugo,Las Palmas,MF,0.05,1.67
856,Estanis,Bologna,FW,0.0,30.0
857,Nahuel Estévez,Parma,MF,0.14,1.78
858,Pervis Estupiñán,Brighton,DF,0.15,2.17
859,Etienne Eto'o,Rayo Vallecano,FW,0.0,0.0
860,Karl Etta,Villarreal,"MF,FW",0.0,2.43
861,Evanilson,Bournemouth,FW,0.31,2.37
862,Jake Evans,Leicester City,FW,0.0,0.0
863,Jonny Evans,Manchester Utd,DF,0.0,0.57
864,Edu Expósito,Espanyol,MF,0.17,3.79
865,Eberechi Eze,Crystal Palace,"MF,FW",0.35,4.69
866,Abde Ezzalzouli,Betis,"FW,MF",0.32,2.99
867,Giovanni Fabbian,Bologna,MF,0.0,1.67
868,Łukasz Fabiański,West Ham,GK,0.0,0.23
869,Alieu Fadera,Como,"FW,DF",0.38,2.95
870,Wout Faes,Leicester City,DF,0.0,0.54
871,Nicolò Fagioli,Fiorentina,MF,0.37,4.02
872,Nicolò Fagioli,Juventus,MF,0.16,1.57
873,Romain Faivre,Brest,"MF,FW",0.4,3.3
874,Wladimiro Falcone,Lecce,GK,0.03,0.29
875,Davide Faraoni,Hellas Verona,DF,0.0,1.04
876,Abdul Fatawu Issahaku,Leicester City,FW,0.47,2.64
877,Ansu Fati,Barcelona,FW,0.0,4.25
878,Khalil Fayad,Montpellier,"MF,FW",0.09,1.66
879,Jacopo Fazzini,Empoli,MF,0.46,3.19
880,Nabil Fekir,Betis,MF,0.5,6.0
881,Mattia Felici,Cagliari,"MF,FW",0.39,3.02
882,Luiz Felipe,Marseille,DF,0.0,0.0
883,João Félix,Chelsea,"FW,MF",0.73,4.38
884,João Félix,Milan,MF,0.71,4.14
885,Frank Feller,Heidenheim,GK,0.74,0.74
886,Kiko Femenía,Villarreal,DF,0.2,1.74
887,Evan Ferguson,West Ham,FW,0.0,2.31
888,Evan Ferguson,Brighton,FW,0.0,1.47
889,Lewis Ferguson,Bologna,MF,0.09,2.93
890,Zinedine Ferhat,Angers,"FW,MF",0.11,3.39
891,Bruno Fernandes,Manchester Utd,MF,0.39,5.76
892,Edimilson Fernandes,Brest,"MF,DF",0.08,1.3
893,Mateus Fernandes,Southampton,MF,0.22,2.41
894,Aitor Fernández,Osasuna,GK,0.0,0.0
895,Álvaro Fernández,Sevilla,GK,0.0,0.36
896,Enzo Fernández,Chelsea,MF,0.49,4.49
897,Pelayo Fernandez,Rayo Vallecano,DF,0.0,0.0
898,Roberto Férnandez,Espanyol,FW,0.18,1.68
899,Valery Fernández,Mallorca,"MF,FW",0.87,1.45
900,Matias Fernandez-Pardo,Lille,"FW,MF",0.51,2.54
901,André Ferreira,Valladolid,GK,0.0,0.17
902,Jordan Ferri,Montpellier,MF,0.25,2.39
903,Daniel Fila,Venezia,FW,0.0,2.74
904,Karol Fila,Strasbourg,MF,0.0,0.0
905,Kilian Fischer,Wolfsburg,DF,0.08,1.53
906,Mark Flekken,Brentford,GK,0.05,0.27
907,Alessandro Florenzi,Milan,FW,0.0,0.0
908,Mateo Flores,Betis,MF,0.0,1.18
909,Phil Foden,Manchester City,"MF,FW",0.46,4.46
910,Malick Fofana,Lyon,FW,0.62,3.12
911,Rayan Fofana,Lens,"FW,MF",0.0,0.0
912,Seko Fofana,Rennes,MF,0.21,3.41
913,Wesley Fofana,Chelsea,DF,0.0,1.15
914,Yahia Fofana,Angers,GK,0.0,0.12
915,Youssouf Fofana,Milan,MF,0.22,2.23
916,Jonas Föhrenbach,Heidenheim,DF,0.2,1.67
917,Michael Folorunsho,Fiorentina,"FW,MF",0.14,1.94
918,Michael Folorunsho,Napoli,"FW,MF",0.0,0.0
919,Lamine Fomba,Saint-Étienne,MF,0.0,1.66
920,Carlos Forbs,Wolves,"MF,FW",0.38,1.89
921,Pablo Fornals,Betis,"MF,FW",0.44,4.33
922,Omari Forson,Monza,"MF,FW",0.0,5.65
923,Fraser Forster,Tottenham,GK,0.0,0.0
924,Héctor Fort,Barcelona,DF,0.15,2.46
925,Dimitri Foulquier,Valencia,DF,0.16,1.41
926,Juan Foyth,Villarreal,DF,0.06,1.19
927,Fran,Real Madrid,GK,0.0,0.0
928,Matheus França,Crystal Palace,"MF,FW",0.0,4.91
929,Alejandro Francés,Girona,DF,0.08,1.23
930,Przemysław Frankowski,Lens,DF,0.32,2.99
931,Enric Franquesa,Leganés,"DF,FW",0.0,0.88
932,Ryan Fraser,Southampton,"FW,DF",0.0,1.47
933,Davide Frattesi,Inter,MF,0.15,1.4
934,Tyler Fredricson,Manchester Utd,DF,0.0,1.63
935,Morten Frendrup,Genoa,MF,0.12,1.54
936,Martin Frese,Hellas Verona,DF,0.16,1.64
937,Remo Freuler,Bologna,MF,0.08,2.08
938,Marco Friedl,Werder Bremen,DF,0.0,0.54
939,Marvin Friedrich,Gladbach,DF,0.09,0.82
940,Jeremie Frimpong,Leverkusen,"DF,MF",0.43,2.57
941,Jorge de Frutos,Rayo Vallecano,"FW,MF",0.36,2.24
942,Darío Fuentes,Sevilla,DF,0.0,0.0
943,Chris Führich,Stuttgart,"MF,FW",0.36,3.86
944,Shiō Fukuda,Gladbach,FW,1.5,3.0
945,Angelo Fulgini,Lens,"MF,FW",0.17,4.65
946,Niclas Füllkrug,West Ham,FW,0.23,2.5
947,Kyogo Furuhashi,Rennes,FW,0.0,0.0
948,Manuel Fuster,Las Palmas,"FW,MF",0.54,5.02
949,Matteo Gabbia,Milan,DF,0.13,0.92
950,Tommaso Gabellini,Torino,FW,0.0,0.0
