,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 37_level_0
,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
422,407,Felipe Caicedo,ec ECU,"FW,MF",Lazio,it Serie A,28,1988,22,4,717,8.0,3,2,5,3,0,0,1,0,3.9,3.9,0.8,4.6,9,14,60,0.38,0.25,0.63,0.38,0.63,0.49,0.10,0.59,0.49,0.59,Matches
423,408,Caiuby,br BRA,FW,Augsburg,de Bundesliga,29,1988,33,32,2855,31.7,5,7,12,5,0,0,8,0,5.1,5.1,4.0,9.1,66,84,141,0.16,0.22,0.38,0.16,0.38,0.16,0.13,0.29,0.16,0.29,Matches
424,409,Cala,es ESP,DF,Getafe,es La Liga,27,1989,20,20,1800,20.0,2,2,4,2,0,0,9,0,1.6,1.6,0.7,2.3,2,42,6,0.10,0.10,0.20,0.10,0.20,0.08,0.04,0.12,0.08,0.12,Matches
425,410,Davide Calabria,it ITA,DF,Milan,it Serie A,20,1996,21,18,1564,17.4,1,2,3,1,0,0,2,1,0.8,0.8,2.3,3.1,33,100,122,0.06,0.12,0.17,0.06,0.17,0.04,0.13,0.18,0.04,0.18,Matches
426,411,Mattia Caldara,it ITA,DF,Atalanta,it Serie A,23,1994,24,24,2160,24.0,3,1,4,3,0,1,5,0,3.3,2.6,0.1,2.6,10,42,4,0.12,0.04,0.17,0.12,0.17,0.14,0.00,0.14,0.11,0.11,Matches
427,412,Carlos Calderón,es ESP,MF,Getafe,es La Liga,22,1995,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
428,413,Luca Caldirola,it ITA,DF,Werder Bremen,de Bundesliga,26,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
429,414,Hakan Çalhanoğlu,tr TUR,"FW,MF",Milan,it Serie A,23,1994,31,25,2172,24.1,6,6,12,6,0,0,7,1,5.2,5.2,7.1,12.3,65,129,242,0.25,0.25,0.50,0.25,0.50,0.22,0.29,0.51,0.22,0.51,Matches
430,415,Fabrizio Caligara,it ITA,MF,Cagliari,it Serie A,17,2000,1,0,18,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
431,416,Daniel Caligiuri,it ITA,"DF,MF",Schalke 04,de Bundesliga,29,1988,33,32,2917,32.4,6,10,16,3,3,3,4,0,4.3,1.9,5.5,7.4,116,143,148,0.19,0.31,0.49,0.09,0.40,0.13,0.17,0.30,0.06,0.23,Matches
432,417,José Callejón,es ESP,FW,Napoli,it Serie A,30,1987,38,38,3238,36.0,10,9,19,10,0,0,3,0,9.6,9.6,7.3,16.9,55,108,306,0.28,0.25,0.53,0.28,0.53,0.27,0.20,0.47,0.27,0.47,Matches
433,418,Jonathan Calleri,ar ARG,FW,Las Palmas,es La Liga,23,1993,37,34,3109,34.5,9,3,12,4,5,5,7,0,13.5,9.6,2.8,12.4,47,64,188,0.26,0.09,0.35,0.12,0.20,0.39,0.08,0.47,0.28,0.36,Matches
434,419,Simone Calvano,it ITA,MF,Hellas Verona,it Serie A,24,1993,15,7,644,7.2,0,0,0,0,0,0,1,0,0.3,0.3,0.5,0.8,4,23,11,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.11,0.04,0.11,Matches
435,420,Dominic Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,20,1997,32,18,1882,20.9,4,6,10,4,0,0,4,0,4.9,4.8,2.6,7.4,42,27,125,0.19,0.29,0.48,0.19,0.48,0.23,0.12,0.36,0.23,0.36,Matches
436,421,Ignacio Camacho,es ESP,"MF,DF",Wolfsburg,de Bundesliga,27,1990,11,11,951,10.6,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.8,1,47,5,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches
437,422,Abdoul Camara,gn GUI,"FW,MF",Guingamp,fr Ligue 1,27,1990,14,12,888,9.9,2,1,3,2,0,0,0,0,1.6,1.6,0.8,2.5,46,24,69,0.20,0.10,0.30,0.20,0.30,0.17,0.08,0.25,0.17,0.25,Matches
438,423,Souleymane Camara,sn SEN,FW,Montpellier,fr Ligue 1,34,1982,24,8,934,10.4,2,2,4,2,0,1,1,0,3.3,2.5,0.9,3.4,12,21,87,0.19,0.19,0.39,0.19,0.39,0.32,0.09,0.40,0.24,0.33,Matches
439,424,Víctor Camarasa,es ESP,MF,Betis,es La Liga,23,1994,24,14,1252,13.9,1,0,1,1,0,0,1,0,1.4,1.4,1.5,2.9,44,68,51,0.07,0.00,0.07,0.07,0.07,0.10,0.11,0.21,0.10,0.21,Matches
440,425,Geoff Cameron,us USA,"DF,MF",Stoke City,eng Premier League,32,1985,20,17,1525,16.9,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.5,9,48,15,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
441,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
442,426,José Campaña,es ESP,MF,Levante,es La Liga,24,1993,35,33,2734,30.4,1,4,5,1,0,0,9,1,1.4,1.4,4.7,6.2,84,232,77,0.03,0.13,0.16,0.03,0.16,0.05,0.16,0.20,0.05,0.20,Matches
443,427,Joel Campbell,cr CRC,"MF,FW",Betis,es La Liga,25,1992,8,2,214,2.4,2,1,3,2,0,0,1,0,1.1,1.1,0.5,1.6,14,16,26,0.84,0.42,1.26,0.84,1.26,0.46,0.22,0.68,0.46,0.68,Matches
444,428,Tyrese Campbell,eng ENG,FW,Stoke City,eng Premier League,17,1999,4,0,79,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,4,4,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24,Matches
445,429,Emre Can,de GER,MF,Liverpool,eng Premier League,23,1994,26,24,2091,23.2,3,4,7,3,0,0,8,0,1.8,1.8,3.0,4.8,84,137,48,0.13,0.17,0.30,0.13,0.30,0.08,0.13,0.21,0.08,0.21,Matches
446,430,Sergio Canales,es ESP,"MF,FW",Real Sociedad,es La Liga,26,1991,36,20,1928,21.4,4,5,9,4,0,0,4,0,3.4,3.4,6.0,9.5,79,138,139,0.19,0.23,0.42,0.19,0.42,0.16,0.28,0.44,0.16,0.44,Matches
447,431,João Cancelo,pt POR,DF,Inter,it Serie A,23,1994,26,20,1851,20.6,1,2,3,1,0,0,4,0,0.4,0.4,4.1,4.5,96,129,133,0.05,0.10,0.15,0.05,0.15,0.02,0.20,0.22,0.02,0.22,Matches
448,432,João Cancelo,pt POR,MF,Valencia,es La Liga,23,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,12,6,12,0.00,0.00,0.00,0.00,0.00,0.30,0.42,0.72,0.30,0.72,Matches
449,433,Antonio Candreva,it ITA,FW,Inter,it Serie A,30,1987,36,33,2537,28.2,0,7,7,0,0,0,4,0,4.0,4.0,7.9,12.0,158,120,337,0.00,0.25,0.25,0.00,0.25,0.14,0.28,0.42,0.14,0.42,Matches
450,434,Paolo Cannavaro,it ITA,DF,Sassuolo,it Serie A,36,1981,19,16,1443,16.0,0,0,0,0,0,0,3,0,0.3,0.3,0.1,0.3,6,49,3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
451,435,Ander Capa,es ESP,DF,Eibar,es La Liga,25,1992,33,25,2249,25.0,0,1,1,0,0,0,4,0,0.2,0.2,1.5,1.8,81,143,122,0.00,0.04,0.04,0.00,0.04,0.01,0.06,0.07,0.01,0.07,Matches
452,436,Pierrick Capelle,fr FRA,MF,Angers,fr Ligue 1,30,1987,28,23,1884,20.9,2,1,3,2,0,0,3,0,2.6,2.6,2.1,4.7,59,89,99,0.10,0.05,0.14,0.10,0.14,0.12,0.10,0.23,0.12,0.23,Matches
453,437,Leonardo Capezzi,it ITA,MF,Sampdoria,it Serie A,22,1995,6,2,214,2.4,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7,3,20,4,0.00,0.42,0.42,0.00,0.42,0.00,0.31,0.31,0.00,0.31,Matches
454,438,Étienne Capoue,fr FRA,MF,Watford,eng Premier League,29,1988,23,18,1542,17.1,1,0,1,1,0,0,3,0,0.8,0.8,0.6,1.4,8,74,22,0.06,0.00,0.06,0.06,0.06,0.05,0.03,0.08,0.05,0.08,Matches
455,439,Elio Capradossi,ug UGA,DF,Roma,it Serie A,21,1996,2,1,83,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
456,440,Gianluca Caprari,it ITA,"FW,MF",Sampdoria,it Serie A,24,1993,34,19,1809,20.1,5,3,8,5,0,0,6,1,8.2,8.2,3.4,11.6,58,76,206,0.25,0.15,0.40,0.25,0.40,0.41,0.17,0.58,0.41,0.58,Matches
457,441,Marco Capuano,it ITA,DF,Crotone,it Serie A,25,1991,16,16,1407,15.6,0,0,0,0,0,0,5,1,0.1,0.1,0.0,0.1,8,37,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
458,442,Marco Capuano,it ITA,DF,Cagliari,it Serie A,25,1991,9,7,690,7.7,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,14,30,22,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
459,443,Antonio Caracciolo,it ITA,DF,Hellas Verona,it Serie A,27,1990,33,32,2857,31.7,2,4,6,2,0,0,6,0,1.6,1.6,1.0,2.6,2,33,8,0.06,0.13,0.19,0.06,0.19,0.05,0.03,0.08,0.05,0.08,Matches
460,444,Yoan Cardinale,fr FRA,GK,Nice,fr Ligue 1,23,1994,10,10,900,10.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
461,445,Diego Carlos,br BRA,DF,Nantes,fr Ligue 1,24,1993,28,27,2291,25.5,1,0,1,1,0,0,7,1,1.6,1.6,0.5,2.1,4,67,8,0.04,0.00,0.04,0.04,0.04,0.06,0.02,0.08,0.06,0.08,Matches
462,446,Lionel Carole,fr FRA,DF,Sevilla,es La Liga,26,1991,6,6,540,6.0,0,1,1,0,0,0,0,0,0.3,0.3,0.1,0.4,10,24,36,0.00,0.17,0.17,0.00,0.17,0.04,0.02,0.06,0.04,0.06,Matches
463,447,Yannick Carrasco,be BEL,"MF,FW",Atlético Madrid,es La Liga,23,1993,17,8,901,10.0,3,4,7,3,0,0,3,0,2.3,2.3,2.6,4.9,56,29,83,0.30,0.40,0.70,0.30,0.70,0.23,0.26,0.49,0.23,0.49,Matches
464,448,Michael Carrick,eng ENG,MF,Manchester Utd,eng Premier League,36,1981,2,1,109,1.2,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,0,15,1,0.00,0.00,0.00,0.00,0.00,0.43,0.05,0.48,0.43,0.48,Matches
465,449,Daniel Carriço,pt POR,DF,Sevilla,es La Liga,28,1988,6,5,460,5.1,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,0,16,2,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,Matches
466,450,André Carrillo,pe PER,"FW,MF",Watford,eng Premier League,26,1991,28,16,1540,17.1,1,2,3,1,0,0,2,0,2.3,2.3,2.8,5.1,71,72,97,0.06,0.12,0.18,0.06,0.18,0.14,0.16,0.30,0.14,0.30,Matches
467,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
468,451,Guido Carrillo,ar ARG,FW,Southampton,eng Premier League,26,1991,7,5,450,5.0,0,1,1,0,0,0,0,0,0.7,0.7,0.4,1.0,3,8,32,0.00,0.20,0.20,0.00,0.20,0.13,0.08,0.21,0.13,0.21,Matches
469,452,Guido Carrillo,ar ARG,FW,Monaco,fr Ligue 1,26,1991,15,2,424,4.7,4,0,4,4,0,0,0,0,2.1,2.1,0.1,2.2,1,6,14,0.85,0.00,0.85,0.85,0.85,0.44,0.03,0.46,0.44,0.46,Matches
470,453,Thomas Carrique,fr FRA,DF,Bordeaux,fr Ligue 1,18,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,5,8,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
471,454,Andy Carroll,eng ENG,FW,West Ham,eng Premier League,28,1989,16,7,750,8.3,3,0,3,3,0,0,7,1,1.8,1.8,0.5,2.4,6,11,42,0.36,0.00,0.36,0.36,0.36,0.22,0.06,0.28,0.22,0.28,Matches
472,455,Tom Carroll,eng ENG,MF,Swansea City,eng Premier League,25,1992,37,28,2570,28.6,0,4,4,0,0,0,3,0,0.9,0.9,4.1,5.0,54,179,57,0.00,0.14,0.14,0.00,0.14,0.03,0.14,0.18,0.03,0.18,Matches
473,456,Federico Cartabia,ar ARG,"FW,MF",La Coruña,es La Liga,24,1993,20,16,1324,14.7,2,1,3,2,0,0,6,0,1.7,1.7,1.6,3.3,68,78,137,0.14,0.07,0.20,0.14,0.20,0.11,0.11,0.22,0.11,0.22,Matches
474,457,Dani Carvajal,es ESP,DF,Real Madrid,es La Liga,25,1992,25,25,2222,24.7,0,2,2,0,0,0,11,1,1.0,1.0,4.2,5.1,69,150,216,0.00,0.08,0.08,0.00,0.08,0.04,0.17,0.21,0.04,0.21,Matches
475,458,Casemiro,br BRA,MF,Real Madrid,es La Liga,25,1992,30,30,2595,28.8,5,3,8,5,0,0,8,0,3.3,3.3,2.7,6.0,24,145,47,0.17,0.10,0.28,0.17,0.28,0.11,0.09,0.21,0.11,0.21,Matches
476,459,Kiko Casilla,es ESP,GK,Real Madrid,es La Liga,30,1986,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
477,460,Francesco Cassata,it ITA,MF,Sassuolo,it Serie A,20,1997,10,5,458,5.1,1,0,1,1,0,0,3,1,0.2,0.2,0.1,0.3,4,14,20,0.20,0.00,0.20,0.20,0.20,0.04,0.02,0.06,0.04,0.06,Matches
478,461,Timothy Castagne,be BEL,DF,Atalanta,it Serie A,21,1995,20,17,1500,16.7,0,1,1,0,0,0,4,0,1.1,1.1,2.2,3.3,38,58,115,0.00,0.06,0.06,0.00,0.06,0.07,0.13,0.20,0.07,0.20,Matches
479,462,Leandro Castán,br BRA,DF,Cagliari,it Serie A,30,1986,14,13,1141,12.7,0,1,1,0,0,0,5,0,0.1,0.1,0.2,0.3,5,40,2,0.00,0.08,0.08,0.00,0.08,0.01,0.02,0.02,0.01,0.02,Matches
480,463,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,25,1992,34,34,3060,34.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
481,464,Dani Castellano,es ESP,DF,Las Palmas,es La Liga,29,1987,24,23,2025,22.5,0,2,2,0,0,0,5,0,0.1,0.1,0.7,0.8,60,55,61,0.00,0.09,0.09,0.00,0.09,0.00,0.03,0.04,0.00,0.04,Matches
482,465,Javi Castellano,es ESP,MF,Las Palmas,es La Liga,29,1987,23,17,1566,17.4,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,7,60,10,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
483,466,Samu Castillejo,es ESP,"MF,FW",Villarreal,es La Liga,22,1995,30,25,2074,23.0,6,5,11,6,0,0,4,0,4.5,4.5,4.4,8.9,104,111,150,0.26,0.22,0.48,0.26,0.48,0.20,0.19,0.39,0.20,0.39,Matches
484,467,Chory Castro,uy URU,"MF,FW",Málaga,es La Liga,32,1984,26,26,2061,22.9,4,2,6,3,1,1,5,1,3.4,2.4,2.5,4.9,64,100,114,0.17,0.09,0.26,0.13,0.22,0.15,0.11,0.26,0.11,0.21,Matches
485,468,Gonzalo Castro,de GER,MF,Dortmund,de Bundesliga,30,1987,19,16,1206,13.4,0,2,2,0,0,0,3,0,1.2,1.2,3.0,4.2,17,97,47,0.00,0.15,0.15,0.00,0.15,0.09,0.22,0.31,0.09,0.31,Matches
486,469,Jonny Castro,es ESP,DF,Celta Vigo,es La Liga,23,1994,36,36,3202,35.6,2,1,3,2,0,0,10,0,1.8,1.8,1.6,3.4,96,162,131,0.06,0.03,0.08,0.06,0.08,0.05,0.05,0.10,0.05,0.10,Matches
487,470,Lucas Castro,ar ARG,MF,Chievo,it Serie A,28,1989,25,23,1985,22.1,3,4,7,3,0,0,3,0,3.4,3.4,2.6,6.0,63,126,103,0.14,0.18,0.32,0.14,0.32,0.15,0.12,0.27,0.15,0.27,Matches
488,471,Rubén Castro,es ESP,FW,Betis,es La Liga,36,1981,10,3,359,4.0,1,1,2,0,1,1,0,0,1.8,1.1,0.6,1.7,6,6,12,0.25,0.25,0.50,0.00,0.25,0.46,0.14,0.60,0.28,0.42,Matches
489,472,Danilo Cataldi,it ITA,MF,Benevento,it Serie A,22,1994,29,25,2282,25.4,1,4,5,1,0,0,11,1,1.5,1.5,2.3,3.8,49,135,66,0.04,0.16,0.20,0.04,0.20,0.06,0.09,0.15,0.06,0.15,Matches
490,473,Craig Cathcart,nir NIR,DF,Watford,eng Premier League,28,1989,7,5,523,5.8,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,11,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
491,474,Edinson Cavani,uy URU,FW,Paris S-G,fr Ligue 1,30,1987,32,30,2581,28.7,28,6,34,25,3,5,3,0,23.4,19.8,6.0,25.8,30,43,168,0.98,0.21,1.19,0.87,1.08,0.82,0.21,1.03,0.69,0.90,Matches
492,475,Marijan Ćavar,ba BIH,MF,Eint Frankfurt,de Bundesliga,19,1998,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
493,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
494,476,Dani Ceballos,es ESP,MF,Real Madrid,es La Liga,20,1996,12,4,401,4.5,2,0,2,2,0,0,0,0,0.4,0.4,0.2,0.6,13,38,17,0.45,0.00,0.45,0.45,0.45,0.09,0.04,0.13,0.09,0.13,Matches
495,477,Federico Ceccherini,it ITA,DF,Crotone,it Serie A,25,1992,37,37,3229,35.9,1,0,1,1,0,0,4,1,1.6,1.6,0.6,2.2,26,98,4,0.03,0.00,0.03,0.03,0.03,0.05,0.02,0.06,0.05,0.06,Matches
496,478,Emanuel Cecchini,ar ARG,"MF,DF",Málaga,es La Liga,20,1996,2,0,30,0.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
497,479,Petr Čech,cz CZE,GK,Arsenal,eng Premier League,35,1982,34,34,3039,33.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
498,480,Ricardo Centurión,ar ARG,"MF,FW",Genoa,it Serie A,24,1993,3,1,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
499,481,Luca Ceppitelli,it ITA,DF,Cagliari,it Serie A,27,1989,27,26,2227,24.7,3,0,3,3,0,0,7,0,1.1,1.1,1.2,2.3,2,73,3,0.12,0.00,0.12,0.12,0.12,0.04,0.05,0.09,0.04,0.09,Matches
500,482,Fabio Ceravolo,it ITA,FW,Benevento,it Serie A,30,1987,1,1,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
501,483,Alessio Cerci,it ITA,FW,Hellas Verona,it Serie A,30,1987,24,22,1635,18.2,3,1,4,2,1,1,1,0,3.3,2.5,4.1,6.6,76,42,141,0.17,0.06,0.22,0.11,0.17,0.18,0.23,0.41,0.14,0.36,Matches
502,484,Boštjan Cesar,si SVN,DF,Chievo,it Serie A,35,1982,10,5,550,6.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,20,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
503,485,Damir Ceter,co COL,FW,Cagliari,it Serie A,19,1997,6,1,199,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,4,6,10,0.00,0.00,0.00,0.00,0.00,0.03,0.14,0.18,0.03,0.18,Matches
504,486,Nacer Chadli,be BEL,"FW,MF",West Brom,eng Premier League,27,1989,5,2,260,2.9,1,0,1,1,0,0,1,0,0.2,0.2,0.1,0.3,4,7,8,0.35,0.00,0.35,0.35,0.35,0.08,0.04,0.11,0.08,0.11,Matches
505,487,Fouad Chafik,ma MAR,DF,Dijon,fr Ligue 1,30,1986,23,19,1613,17.9,0,2,2,0,0,0,4,0,0.2,0.2,1.8,1.9,32,59,79,0.00,0.11,0.11,0.00,0.11,0.01,0.10,0.11,0.01,0.11,Matches
506,488,Nathaniel Chalobah,eng ENG,MF,Watford,eng Premier League,22,1994,6,5,447,5.0,0,0,0,0,0,0,1,0,0.8,0.8,0.0,0.9,7,22,14,0.00,0.00,0.00,0.00,0.00,0.17,0.01,0.18,0.17,0.18,Matches
507,489,Calum Chambers,eng ENG,DF,Arsenal,eng Premier League,22,1995,12,10,866,9.6,0,0,0,0,0,0,1,0,1.4,1.4,0.1,1.5,11,43,20,0.00,0.00,0.00,0.00,0.00,0.15,0.01,0.16,0.15,0.16,Matches
508,490,Nereo Champagne,ar ARG,GK,Leganés,es La Liga,32,1985,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
509,491,Timothy Chandler,us USA,"DF,FW",Eint Frankfurt,de Bundesliga,27,1990,24,22,1892,21.0,2,4,6,2,0,0,3,0,1.6,1.6,2.6,4.2,47,78,122,0.10,0.19,0.29,0.10,0.29,0.08,0.12,0.20,0.08,0.20,Matches
510,492,Kwon Chang-hoon,kr KOR,"FW,MF",Dijon,fr Ligue 1,23,1994,34,26,2137,23.7,11,3,14,11,0,0,3,0,6.6,6.6,2.3,8.9,66,40,175,0.46,0.13,0.59,0.46,0.59,0.28,0.10,0.38,0.28,0.38,Matches
511,493,Charles,br BRA,FW,Eibar,es La Liga,33,1984,30,18,1582,17.6,8,1,9,7,1,1,5,1,8.1,7.3,1.7,9.0,8,32,66,0.46,0.06,0.51,0.40,0.46,0.46,0.09,0.56,0.42,0.51,Matches
512,494,Charly Charrier,fr FRA,"MF,FW",Amiens,fr Ligue 1,31,1986,3,1,105,1.2,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.5,1,7,16,0.00,0.00,0.00,0.00,0.00,0.37,0.03,0.40,0.37,0.40,Matches
513,495,Pape Cheikh Diop,sn SEN,MF,Lyon,fr Ligue 1,19,1997,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
514,496,Chema,es ESP,DF,Levante,es La Liga,25,1992,25,23,2017,22.4,1,1,2,1,0,0,7,1,0.5,0.5,0.9,1.4,3,49,3,0.04,0.04,0.09,0.04,0.09,0.02,0.04,0.06,0.02,0.06,Matches
515,497,Denis Cheryshev,ru RUS,"MF,FW",Villarreal,es La Liga,26,1990,24,9,926,10.3,2,1,3,2,0,0,2,0,5.1,5.1,3.5,8.5,51,38,75,0.19,0.10,0.29,0.19,0.29,0.49,0.34,0.83,0.49,0.83,Matches
516,498,Raman Chibsah,gh GHA,MF,Benevento,it Serie A,24,1993,14,12,1048,11.6,0,0,0,0,0,0,4,0,0.9,0.9,0.6,1.6,8,25,17,0.00,0.00,0.00,0.00,0.00,0.08,0.06,0.13,0.08,0.13,Matches
517,499,Leandro Chichizola,ar ARG,GK,Las Palmas,es La Liga,27,1990,27,27,2430,27.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
518,500,Giorgio Chiellini,it ITA,DF,Juventus,it Serie A,32,1984,26,25,2161,24.0,0,1,1,0,0,0,2,0,0.6,0.6,0.7,1.3,34,123,9,0.00,0.04,0.04,0.00,0.04,0.03,0.03,0.06,0.03,0.06,Matches
519,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
520,501,Federico Chiesa,it ITA,"FW,MF",Fiorentina,it Serie A,19,1997,36,35,3012,33.5,6,4,10,6,0,0,7,0,7.0,7.0,6.3,13.3,164,106,339,0.18,0.12,0.30,0.18,0.30,0.21,0.19,0.40,0.21,0.40,Matches
521,502,Ben Chilwell,eng ENG,DF,Leicester City,eng Premier League,20,1996,24,20,1853,20.6,0,2,2,0,0,0,3,1,0.2,0.2,2.4,2.6,85,78,121,0.00,0.10,0.10,0.00,0.10,0.01,0.12,0.13,0.01,0.13,Matches
522,503,Vlad Chiricheș,ro ROU,DF,Napoli,it Serie A,27,1989,7,7,582,6.5,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,7,46,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
