Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
548,Federico Chiesa,it ITA,FW,Liverpool,eng Premier League,26,1997,1.2,46,2,10,15,21,4,46,2,0,0.0,2,100.0,31,130,58,3,1,1,3,4,33,7,Matches
549,Ben Chilwell,eng ENG,DF,Crystal Palace,eng Premier League,27,1996,2.9,175,10,63,76,42,3,175,6,2,33.3,3,50.0,68,354,243,5,2,1,4,2,68,15,Matches
550,Chiquinho,pt POR,MF,Wolves,eng Premier League,24,2000,0.1,3,0,0,1,2,1,3,0,0,,0,,1,13,5,0,0,0,0,0,2,0,Matches
551,Chiquinho,pt POR,"MF,FW",Mallorca,es La Liga,24,2000,1.6,76,0,6,23,48,9,76,13,5,38.5,7,53.8,43,305,96,4,2,1,17,8,49,12,Matches
552,Pedro Chirivella,es ESP,MF,Nantes,fr Ligue 1,27,1997,26.1,1740,48,366,1150,240,3,1740,7,3,42.9,4,57.1,946,4091,1939,16,14,1,15,7,1244,25,Matches
553,Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,22,2001,21.0,1012,79,296,560,162,9,1012,16,8,50.0,8,50.0,489,2324,970,20,13,0,15,11,579,35,Matches
554,Hamza Choudhury,bd BAN,"MF,DF",Leicester City,eng Premier League,26,1997,1.5,100,4,19,61,20,3,100,4,3,75.0,1,25.0,63,246,130,4,2,2,1,0,71,6,Matches
555,Andreas Christensen,dk DEN,DF,Barcelona,es La Liga,28,1996,2.8,246,14,75,160,12,1,246,0,0,,0,,163,791,362,1,3,0,1,0,181,1,Matches
556,Ryan Christie,sct SCO,MF,Bournemouth,eng Premier League,29,1995,23.5,1376,74,256,773,372,46,1376,48,23,47.9,22,45.8,726,3802,1773,34,40,8,44,25,777,44,Matches
557,Carney Chukwuemeka,eng ENG,MF,Dortmund,de Bundesliga,20,2003,2.8,169,1,7,69,95,22,169,13,7,53.8,3,23.1,107,545,313,15,10,9,11,7,119,24,Matches
558,Samuel Chukwueze,ng NGA,"FW,MF",Milan,it Serie A,25,1999,10.3,556,8,62,195,307,54,556,47,26,55.3,20,42.6,369,2763,1494,48,37,20,23,11,406,116,Matches
559,Aaron Ciammaglichella,it ITA,MF,Torino,it Serie A,19,2005,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
560,Jasper Cillessen,nl NED,GK,Las Palmas,es La Liga,35,1989,25.9,1079,867,1066,13,0,0,1079,0,0,,0,,609,3115,2050,0,0,0,4,0,514,0,Matches
561,Giuseppe Ciocci,it ITA,GK,Cagliari,it Serie A,22,2002,0.1,1,0,1,0,0,0,1,0,0,,0,,1,3,2,0,0,0,0,0,1,0,Matches
562,Alessandro Circati,au AUS,DF,Parma,it Serie A,20,2003,6.0,301,69,176,119,7,3,301,0,0,,0,,123,505,262,1,0,0,4,2,158,0,Matches
563,Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,es La Liga,30,1994,23.8,1449,106,453,854,154,18,1449,23,14,60.9,8,34.8,749,3105,1550,19,24,1,16,20,877,12,Matches
564,Alphadjo Cissè,it ITA,"FW,MF",Hellas Verona,it Serie A,17,2006,0.1,11,0,1,6,4,0,11,0,0,,0,,6,15,3,0,0,0,0,0,10,0,Matches
565,Djaoui Cissé,fr FRA,MF,Rennes,fr Ligue 1,20,2004,12.5,755,22,149,436,188,3,755,18,13,72.2,4,22.2,447,2693,1292,16,25,0,14,13,537,14,Matches
566,Seydouba Cissé,gn GUI,MF,Leganés,es La Liga,23,2001,27.1,1409,47,273,869,287,28,1409,45,30,66.7,10,22.2,787,3748,1797,26,34,3,32,33,920,42,Matches
567,Yoann Cissé,fr FRA,MF,Auxerre,fr Ligue 1,19,2004,0.1,8,0,0,3,5,0,8,0,0,,0,,4,8,2,0,0,0,1,0,4,2,Matches
568,Patrick Ciurria,it ITA,"MF,DF",Monza,it Serie A,29,1995,12.3,542,22,103,241,202,17,542,12,5,41.7,7,58.3,306,1380,649,19,10,3,18,14,327,52,Matches
569,Harry Clarke,eng ENG,DF,Ipswich Town,eng Premier League,23,2001,4.2,268,18,100,122,47,2,268,2,1,50.0,1,50.0,118,555,222,5,7,0,4,2,163,2,Matches
570,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,eng Premier League,23,2000,13.1,553,24,125,229,215,38,553,50,25,50.0,18,36.0,311,2356,1217,39,21,12,25,22,338,57,Matches
571,Alexis Claude-Maurice,fr FRA,"MF,FW",Augsburg,de Bundesliga,26,1998,23.4,994,13,112,479,431,64,994,90,42,46.7,40,44.4,619,4039,1888,59,47,9,85,50,727,102,Matches
572,Jonathan Clauss,fr FRA,"DF,MF",Nice,fr Ligue 1,31,1992,25.6,1675,78,384,638,669,68,1675,28,11,39.3,16,57.1,747,3445,1994,53,26,9,36,8,899,160,Matches
573,Silvi Clúa,es ESP,MF,Girona,es La Liga,19,2005,1.8,116,8,32,72,16,3,116,4,2,50.0,2,50.0,61,495,217,4,3,1,1,0,77,3,Matches
574,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,eng Premier League,33,1991,5.4,273,18,111,125,37,3,273,1,0,0.0,1,100.0,158,651,314,6,2,3,5,2,178,8,Matches
575,Conor Coady,eng ENG,DF,Leicester City,eng Premier League,31,1993,19.0,1210,234,689,503,20,8,1210,2,1,50.0,1,50.0,789,3430,1820,3,3,1,4,3,878,0,Matches
576,Marcus Coco,fr FRA,DF,Nantes,fr Ligue 1,28,1996,10.6,608,47,198,295,119,4,608,10,3,30.0,7,70.0,297,1329,583,12,9,1,11,6,345,40,Matches
577,Saúl Coco,gq EQG,DF,Torino,it Serie A,25,1999,31.6,1879,241,863,961,65,17,1879,9,7,77.8,2,22.2,1135,5790,3043,17,8,0,13,2,1227,3,Matches
578,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,35,1988,2.4,121,12,42,54,26,3,121,5,4,80.0,1,20.0,54,310,177,1,2,0,1,1,68,7,Matches
579,Nathan Collins,ie IRL,DF,Brentford,eng Premier League,23,2001,38.0,2435,385,1275,1002,169,69,2435,12,6,50.0,5,41.7,1289,6994,4130,32,12,1,20,8,1490,18,Matches
580,Nnamdi Collins,de GER,DF,Eint Frankfurt,de Bundesliga,20,2004,16.5,1107,85,411,541,159,19,1107,34,12,35.3,18,52.9,623,3297,1420,30,21,6,17,11,690,42,Matches
581,Toby Collyer,eng ENG,MF,Manchester Utd,eng Premier League,20,2004,2.0,129,9,46,59,25,3,129,2,1,50.0,1,50.0,68,239,56,0,0,0,11,1,71,2,Matches
582,Lorenzo Colombo,it ITA,"FW,MF",Empoli,it Serie A,22,2002,24.8,837,18,77,417,355,83,836,50,24,48.0,25,50.0,438,2185,856,27,28,10,88,52,547,116,Matches
583,Andrea Colpani,it ITA,"FW,MF",Fiorentina,it Serie A,25,1999,15.9,609,9,62,251,299,49,609,27,12,44.4,13,48.1,395,2413,1094,37,35,13,26,22,449,129,Matches
584,Levi Colwill,eng ENG,DF,Chelsea,eng Premier League,21,2003,35.0,2904,383,1363,1417,140,36,2904,12,6,50.0,5,41.7,1621,7389,4028,14,12,1,14,8,2092,12,Matches
585,Florinel Coman,ro ROU,"FW,MF",Cagliari,it Serie A,26,1998,2.9,121,2,23,50,50,8,121,5,2,40.0,2,40.0,84,472,178,5,8,2,12,6,98,22,Matches
586,Kingsley Coman,fr FRA,FW,Bayern Munich,de Bundesliga,28,1996,14.2,934,13,84,323,537,85,934,74,39,52.7,31,41.9,606,3834,1867,66,33,28,28,18,733,215,Matches
587,Eray Cömert,ch SUI,"DF,MF",Valladolid,es La Liga,26,1998,19.8,1114,132,613,474,32,7,1114,4,4,100.0,0,0.0,599,3025,1543,9,3,0,16,2,728,5,Matches
588,Santi Comesaña,es ESP,MF,Villarreal,es La Liga,27,1996,28.4,1734,110,453,958,333,64,1734,34,18,52.9,14,41.2,903,4242,2451,39,30,6,35,44,1149,58,Matches
589,Pietro Comuzzo,it ITA,DF,Fiorentina,it Serie A,19,2005,23.4,1533,170,730,744,63,9,1533,2,0,0.0,2,100.0,892,3728,1815,14,11,1,15,4,982,12,Matches
590,Francisco Conceição,pt POR,"FW,MF",Juventus,it Serie A,21,2002,14.9,739,11,87,244,425,92,739,79,35,44.3,37,46.8,548,4309,2292,95,32,59,35,22,581,143,Matches
591,Diego Conde,es ESP,GK,Villarreal,es La Liga,25,1998,21.8,696,602,691,5,0,0,696,0,0,,0,,393,1972,1157,0,0,0,1,0,347,0,Matches
592,Tomás Conechny,ar ARG,"FW,MF",Alavés,es La Liga,26,1998,9.4,457,10,66,197,196,34,457,13,6,46.2,7,53.8,249,1056,413,14,18,2,31,9,307,61,Matches
593,Alois Confais,fr FRA,MF,Le Havre,fr Ligue 1,27,1996,0.0,2,0,1,1,0,0,2,0,0,,0,,1,1,0,0,0,0,0,0,1,0,Matches
594,Sirlord Conteh,de GER,"FW,MF",Heidenheim,de Bundesliga,28,1996,9.9,301,4,38,120,152,34,301,13,6,46.2,6,46.2,195,1243,705,29,11,12,23,8,218,75,Matches
595,Lewis Cook,eng ENG,"MF,DF",Bournemouth,eng Premier League,27,1997,33.1,1900,87,440,1010,470,20,1900,20,13,65.0,7,35.0,825,4125,2159,33,29,4,31,18,965,52,Matches
596,Copete,es ESP,DF,Mallorca,es La Liga,24,1999,17.0,987,167,512,446,31,12,987,5,4,80.0,0,0.0,518,2416,1360,10,3,0,7,2,590,2,Matches
597,Diego Coppola,it ITA,DF,Hellas Verona,it Serie A,20,2003,32.5,1576,185,839,708,40,23,1576,5,1,20.0,4,80.0,749,3707,1419,4,4,0,10,5,793,3,Matches
598,Francis Coquelin,fr FRA,MF,Nantes,fr Ligue 1,33,1991,2.5,128,5,23,75,30,6,128,1,1,100.0,0,0.0,62,197,95,3,2,1,3,2,79,2,Matches
599,Iker Córdoba,es ESP,DF,Valencia,es La Liga,18,2005,0.2,12,2,5,6,1,0,12,0,0,,0,,7,36,27,0,0,0,0,0,10,1,Matches
600,Derek Cornelius,ca CAN,DF,Marseille,fr Ligue 1,26,1997,15.8,1493,107,532,883,81,14,1493,2,0,0.0,2,100.0,1012,4273,2384,10,13,0,8,2,1163,11,Matches
601,Maxwel Cornet,ci CIV,FW,Southampton,eng Premier League,27,1996,0.8,34,1,8,14,13,2,34,1,0,0.0,1,100.0,16,73,26,1,0,1,3,0,23,5,Matches
602,Maxwel Cornet,ci CIV,"FW,MF",Genoa,it Serie A,27,1996,2.7,97,2,11,42,45,13,97,9,3,33.3,5,55.6,54,307,154,8,7,5,5,3,72,26,Matches
603,Pierre Cornud,fr FRA,DF,Saint-Étienne,fr Ligue 1,27,1996,6.4,397,41,171,154,78,0,397,7,2,28.6,5,71.4,190,838,459,11,8,0,4,2,212,17,Matches
604,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,es La Liga,29,1995,8.9,419,4,54,129,243,82,419,38,13,34.2,24,63.2,276,1444,768,30,20,13,29,16,303,85,Matches
605,Joaquín Correa,ar ARG,"FW,MF",Inter,it Serie A,29,1994,8.1,438,5,40,216,188,39,438,10,6,60.0,4,40.0,295,1432,680,22,17,4,13,5,353,45,Matches
606,Thierry Correia,pt POR,DF,Valencia,es La Liga,25,1999,8.5,555,29,177,215,170,12,555,23,8,34.8,12,52.2,240,1328,785,16,9,6,17,0,293,48,Matches
607,Alberto costa,pt POR,DF,Juventus,it Serie A,20,2003,4.0,276,13,81,113,85,14,276,11,4,36.4,6,54.5,148,692,407,8,6,3,9,0,170,25,Matches
608,Coba da Costa,es ESP,"MF,FW",Getafe,es La Liga,22,2002,11.2,504,10,75,191,245,47,504,56,19,33.9,33,58.9,261,2137,1076,46,23,25,26,23,294,83,Matches
609,Danny da Costa,de GER,DF,Mainz 05,de Bundesliga,31,1993,22.3,1451,98,566,781,115,2,1451,17,8,47.1,9,52.9,813,3463,1613,21,19,2,22,7,886,22,Matches
610,David Costa,pt POR,"MF,FW",Lens,fr Ligue 1,23,2001,3.9,200,1,17,86,100,15,200,9,2,22.2,7,77.8,118,810,500,14,12,4,11,5,158,20,Matches
611,Logan Costa,cv CPV,DF,Villarreal,es La Liga,23,2001,28.7,1785,295,965,758,69,12,1785,2,0,0.0,2,100.0,1037,5478,2994,25,16,0,7,0,1209,10,Matches
612,Logan Costa,cv CPV,DF,Toulouse,fr Ligue 1,23,2001,1.0,69,12,34,33,3,0,69,0,0,,0,,37,179,115,1,0,0,0,1,42,1,Matches
613,Samu Costa,pt POR,MF,Mallorca,es La Liga,23,2000,29.4,1834,100,446,1100,298,34,1834,33,13,39.4,16,48.5,1029,3991,1591,24,18,1,42,35,1235,69,Matches
614,Grégoire Coudert,fr FRA,GK,Brest,fr Ligue 1,25,1999,2.0,74,57,74,0,0,0,74,0,0,,0,,48,322,211,0,0,0,0,0,42,0,Matches
615,Vladimír Coufal,cz CZE,DF,West Ham,eng Premier League,31,1992,11.9,736,61,262,318,159,14,736,15,5,33.3,7,46.7,298,1754,888,26,10,2,12,8,400,33,Matches
616,Lassana Coulibaly,ml MLI,MF,Lecce,it Serie A,28,1996,29.6,1229,86,311,748,185,19,1229,38,18,47.4,13,34.2,623,3338,1229,21,18,3,33,19,714,49,Matches
617,Lasso Coulibaly,ci CIV,"FW,MF",Auxerre,fr Ligue 1,21,2002,0.5,21,0,3,6,13,3,21,3,1,33.3,2,66.7,12,81,22,0,0,1,1,0,16,4,Matches
618,Mamadou Coulibaly,fr FRA,MF,Monaco,fr Ligue 1,20,2004,0.1,9,0,1,5,3,0,9,2,1,50.0,0,0.0,4,24,10,0,0,0,1,0,6,1,Matches
619,Soumaïla Coulibaly,fr FRA,DF,Brest,fr Ligue 1,20,2003,4.9,370,50,211,150,10,5,370,2,0,0.0,2,100.0,226,940,471,1,2,0,3,0,247,0,Matches
620,Tanguy Coulibaly,fr FRA,"FW,MF",Montpellier,fr Ligue 1,23,2001,16.5,583,7,95,228,272,65,583,54,29,53.7,20,37.0,328,2483,1195,48,26,20,51,31,370,97,Matches
621,Woyo Coulibaly,ml MLI,DF,Leicester City,eng Premier League,25,1999,1.2,76,8,27,31,20,4,76,1,0,0.0,1,100.0,48,288,169,4,2,1,4,0,36,2,Matches
622,Woyo Coulibaly,ml MLI,DF,Parma,it Serie A,25,1999,12.0,706,34,213,388,110,12,706,17,8,47.1,8,47.1,404,2492,1389,36,15,9,19,11,439,23,Matches
623,Marius Courcoul,fr FRA,"MF,DF",Angers,fr Ligue 1,17,2007,3.4,191,10,59,100,34,1,191,5,1,20.0,4,80.0,90,462,191,5,1,0,4,0,116,7,Matches
624,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,32,1992,30.0,1088,960,1083,5,0,0,1088,1,0,0.0,1,100.0,659,3096,1989,0,0,0,0,0,650,0,Matches
625,Yan Couto,br BRA,"DF,FW",Dortmund,de Bundesliga,22,2002,9.9,849,28,227,381,249,16,849,33,13,39.4,18,54.5,483,2871,1469,46,32,6,14,7,547,83,Matches
626,Nicolas Cozza,fr FRA,"DF,MF",Nantes,fr Ligue 1,25,1999,22.8,1044,75,373,424,257,30,1044,20,5,25.0,14,70.0,400,1920,921,25,10,1,30,6,463,56,Matches
627,Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,34,1989,9.2,687,45,270,328,94,2,687,2,1,50.0,1,50.0,291,1102,526,6,8,0,4,0,437,4,Matches
628,Charlie Cresswell,eng ENG,DF,Toulouse,fr Ligue 1,21,2002,28.8,1920,324,1044,801,89,56,1920,11,3,27.3,7,63.6,1033,4261,1800,8,7,1,20,3,1193,13,Matches
629,Bryan Cristante,it ITA,MF,Roma,it Serie A,29,1995,22.7,1497,57,261,981,263,41,1497,14,6,42.9,6,42.9,833,4194,2060,25,30,2,23,13,1057,41,Matches
630,Domen Črnigoj,si SVN,MF,Venezia,it Serie A,28,1995,1.5,76,3,13,40,23,3,76,1,0,0.0,1,100.0,36,199,116,4,2,0,7,1,47,6,Matches
631,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,32,1992,16.6,819,83,296,401,127,4,819,4,1,25.0,2,50.0,337,1259,668,9,7,2,10,3,391,12,Matches
632,Juan Cruz,es ESP,"FW,MF",Leganés,es La Liga,24,2000,25.1,951,23,176,381,413,41,951,78,40,51.3,32,41.0,543,3461,1661,59,43,21,40,24,570,131,Matches
633,Juan Cuadrado,co COL,"DF,MF",Atalanta,it Serie A,36,1988,9.2,722,15,117,277,332,40,722,40,17,42.5,12,30.0,462,2411,1511,41,43,15,14,10,509,90,Matches
634,Pau Cubarsí,es ESP,DF,Barcelona,es La Liga,17,2007,29.1,2805,194,1045,1672,93,17,2805,8,6,75.0,2,25.0,1823,8964,4999,26,16,0,7,1,2193,6,Matches
635,Cucho,co COL,FW,Betis,es La Liga,25,1999,12.7,467,5,23,210,237,61,467,26,17,65.4,9,34.6,250,1318,507,27,9,14,46,14,318,82,Matches
636,Marc Cucurella,es ESP,DF,Chelsea,eng Premier League,26,1998,33.2,2244,119,677,1045,532,75,2244,15,4,26.7,9,60.0,944,4027,2336,35,22,2,28,7,1385,117,Matches
637,Jorge Cuenca,es ESP,DF,Fulham,eng Premier League,24,1999,3.9,214,38,134,74,7,1,214,2,2,100.0,0,0.0,89,302,140,0,1,0,2,0,133,0,Matches
638,Matheus Cunha,br BRA,"MF,FW",Wolves,eng Premier League,25,1999,28.9,1561,23,181,695,733,133,1560,137,61,44.5,61,44.5,904,6724,3336,112,95,41,80,55,1056,161,Matches
639,Patrick Cutrone,it ITA,FW,Como,it Serie A,26,1998,22.7,692,5,28,281,388,119,691,24,9,37.5,12,50.0,445,2251,1067,53,16,26,62,26,508,155,Matches
640,Tomáš Čvančara,cz CZE,FW,Gladbach,de Bundesliga,23,2000,9.2,336,19,47,152,138,36,336,17,6,35.3,9,52.9,185,899,352,15,7,5,18,6,235,50,Matches
641,Wylan Cyprien,fr FRA,MF,Parma,it Serie A,29,1995,0.3,28,2,8,11,9,1,28,0,0,,0,,11,46,33,1,1,1,0,0,15,0,Matches
642,Danilo D'Ambrosio,it ITA,DF,Monza,it Serie A,35,1988,12.2,776,126,400,296,84,19,776,7,2,28.6,5,71.4,443,1697,803,10,6,1,15,1,476,16,Matches
643,Lucas Da Cunha,fr FRA,MF,Como,it Serie A,23,2001,29.0,1929,54,377,1031,528,40,1929,30,12,40.0,17,56.7,1200,6198,3078,63,52,13,20,16,1382,85,Matches
644,Samuel Dahl,se SWE,"DF,MF",Roma,it Serie A,24,2000,0.5,37,0,3,16,18,0,37,1,0,0.0,1,100.0,21,117,35,1,2,0,1,0,25,4,Matches
645,Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,26,1998,19.0,811,553,790,21,0,0,811,0,0,,0,,479,2439,1355,0,0,0,0,0,426,0,Matches
646,Thomas Dähne,de GER,GK,Holstein Kiel,de Bundesliga,30,1994,9.0,432,355,425,7,0,0,432,0,0,,0,,234,1112,603,0,0,0,0,0,213,0,Matches
647,Mahmoud Dahoud,de GER,MF,Eint Frankfurt,de Bundesliga,28,1996,4.0,263,8,65,150,49,3,263,3,1,33.3,2,66.7,160,521,211,1,6,0,4,2,192,6,Matches
648,Patson Daka,zm ZAM,"FW,MF",Leicester City,eng Premier League,25,1998,8.2,252,11,46,114,97,29,252,15,2,13.3,10,66.7,141,714,321,11,7,6,20,12,167,36,Matches
649,Ameen Al-Dakhil,be BEL,DF,Stuttgart,de Bundesliga,22,2002,4.8,407,67,217,185,6,0,407,0,0,,0,,239,1305,616,1,0,0,3,0,264,0,Matches
650,Thijs Dallinga,nl NED,FW,Bologna,it Serie A,23,2000,12.8,439,15,28,199,214,65,439,11,2,18.2,9,81.8,243,1033,213,9,6,8,42,22,343,84,Matches
651,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,25,1999,31.3,1983,113,661,773,566,68,1983,53,27,50.9,22,41.5,1126,4953,2699,62,37,16,38,21,1200,168,Matches
652,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,eng Premier League,24,2000,32.3,1883,36,331,863,713,76,1883,97,50,51.5,36,37.1,1076,5883,3075,73,54,9,63,47,1239,137,Matches
653,Maat Daniel Caprini,it ITA,FW,Fiorentina,it Serie A,18,2006,0.1,13,0,1,6,6,0,13,2,0,0.0,1,50.0,5,35,6,0,0,0,3,1,6,3,Matches
654,Flavius Daniliuc,at AUT,DF,Hellas Verona,it Serie A,23,2001,11.2,538,36,211,278,56,10,538,7,4,57.1,3,42.9,285,1302,671,8,4,0,7,4,306,8,Matches
655,Danilo,br BRA,"MF,FW",Nott'ham Forest,eng Premier League,23,2001,3.1,150,8,54,85,13,0,150,6,3,50.0,3,50.0,54,237,61,2,0,0,6,0,87,1,Matches
656,Danilo,br BRA,DF,Juventus,it Serie A,33,1991,6.5,625,43,209,350,70,4,625,0,0,,0,,381,2018,1136,16,9,2,4,2,476,7,Matches
657,Arnaut Danjuma,nl NED,FW,Villarreal,es La Liga,27,1997,2.2,48,0,1,13,34,8,48,4,0,0.0,4,100.0,25,207,98,4,3,2,3,0,36,17,Matches
658,Arnaut Danjuma,nl NED,"FW,MF",Girona,es La Liga,27,1997,14.8,588,9,60,144,389,81,588,67,24,35.8,35,52.2,394,3594,2010,91,42,38,33,11,441,185,Matches
659,Jayden Danns,eng ENG,MF,Liverpool,eng Premier League,18,2006,0.1,2,0,0,0,2,0,2,0,0,,0,,1,2,1,0,0,0,0,1,1,0,Matches
660,Kévin Danois,fr FRA,MF,Auxerre,fr Ligue 1,20,2004,16.2,912,35,197,470,256,37,912,41,21,51.2,19,46.3,570,2743,1230,19,19,5,25,24,597,50,Matches
661,Kevin Danso,at AUT,DF,Tottenham,eng Premier League,25,1998,9.4,676,108,393,258,29,8,676,3,2,66.7,1,33.3,446,2416,1192,11,5,1,8,3,475,1,Matches
662,Kevin Danso,at AUT,DF,Lens,fr Ligue 1,25,1998,12.0,946,108,417,474,62,17,946,6,1,16.7,3,50.0,489,2756,1602,9,17,0,12,6,551,1,Matches
663,Dante,br BRA,DF,Nice,fr Ligue 1,40,1983,21.8,1651,171,795,785,81,19,1651,15,6,40.0,7,46.7,949,4418,2469,18,10,1,16,5,1138,8,Matches
664,Pape Daouda Diongue,sn SEN,"MF,FW",Strasbourg,fr Ligue 1,,,0.9,78,3,18,44,16,5,78,4,0,0.0,4,100.0,40,159,71,2,2,0,3,1,53,3,Matches
665,Mohamed Daramy,dk DEN,FW,Reims,fr Ligue 1,22,2002,0.2,8,1,1,4,3,3,8,0,0,,0,,5,59,45,3,0,3,2,1,7,2,Matches
666,Bence Dárdai,hu HUN,MF,Wolfsburg,de Bundesliga,18,2006,14.5,595,25,144,314,137,18,595,12,3,25.0,5,41.7,287,1017,382,5,6,0,18,11,337,24,Matches
667,Sergi Darder,es ESP,"MF,FW",Mallorca,es La Liga,30,1993,30.5,1558,19,173,887,518,29,1558,74,34,45.9,30,40.5,911,5026,2211,37,58,7,36,30,1030,83,Matches
668,Matteo Darmian,it ITA,DF,Inter,it Serie A,34,1989,19.8,1144,53,361,501,286,33,1144,9,4,44.4,4,44.4,593,1976,864,14,11,9,15,6,787,102,Matches
669,Lukas Daschner,de GER,"MF,FW",Bochum,de Bundesliga,25,1998,4.6,213,5,26,100,90,14,212,15,5,33.3,10,66.7,116,606,260,8,7,1,21,2,131,19,Matches
670,Juan David Cabal,co COL,DF,Juventus,it Serie A,23,2001,5.1,401,13,135,220,52,3,401,7,4,57.1,0,0.0,242,1342,774,14,11,0,6,4,285,19,Matches
671,Jonathan David,ca CAN,FW,Lille,fr Ligue 1,24,2000,28.4,952,16,56,396,507,145,945,42,20,47.6,20,47.6,518,2432,1154,40,25,20,68,40,717,184,Matches
672,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,23,2000,17.3,1463,33,263,720,498,49,1463,68,31,45.6,31,45.6,895,5191,2807,81,53,21,33,19,1057,140,Matches
673,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,31,1993,14.8,1183,213,642,493,48,13,1183,1,1,100.0,0,0.0,658,3234,1814,14,10,0,5,0,778,6,Matches
674,Keinan Davis,eng ENG,FW,Udinese,it Serie A,26,1998,11.8,404,5,19,195,194,67,404,35,17,48.6,18,51.4,231,1575,605,26,12,16,33,25,325,77,Matches
675,Leif Davis,eng ENG,DF,Ipswich Town,eng Premier League,24,2000,30.5,1562,117,534,520,527,42,1562,38,13,34.2,18,47.4,708,3804,2073,52,31,11,37,16,835,137,Matches
676,Zuriko Davitashvili,ge GEO,"FW,MF",Saint-Étienne,fr Ligue 1,23,2001,30.9,1298,17,138,478,710,123,1296,123,46,37.4,71,57.7,764,5467,2388,95,56,47,74,57,905,224,Matches
677,Paweł Dawidowicz,pl POL,"DF,MF",Hellas Verona,it Serie A,29,1995,20.5,982,93,398,528,59,10,982,4,2,50.0,1,25.0,457,2250,1229,10,7,0,7,3,547,3,Matches
678,Craig Dawson,eng ENG,DF,Wolves,eng Premier League,34,1990,10.8,671,130,396,249,28,14,671,5,1,20.0,2,40.0,390,1819,938,6,1,0,2,0,443,5,Matches
679,Kevin De Bruyne,be BEL,"MF,FW",Manchester City,eng Premier League,33,1991,18.9,1368,10,75,455,850,79,1368,34,13,38.2,17,50.0,812,4001,2076,51,51,20,26,28,1021,150,Matches
680,Bobby De Cordova-Reid,jm JAM,FW,Leicester City,eng Premier League,31,1993,8.3,272,15,49,114,109,16,272,10,0,0.0,8,80.0,174,816,389,14,5,6,11,10,188,48,Matches
681,Charles De Ketelaere,be BEL,"MF,FW",Atalanta,it Serie A,23,2001,23.0,1238,10,75,530,657,135,1238,95,43,45.3,45,47.4,832,5658,3023,108,75,41,52,50,1008,211,Matches
682,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,es La Liga,30,1994,23.4,1950,27,308,1144,517,20,1950,35,14,40.0,15,42.9,1373,7726,4286,85,66,3,33,24,1544,64,Matches
683,Théo De Percin,mq MTQ,GK,Auxerre,fr Ligue 1,23,2001,2.0,68,59,66,2,0,0,68,0,0,,0,,35,180,118,0,0,0,0,0,22,0,Matches
684,Mattia De Sciglio,it ITA,DF,Empoli,it Serie A,31,1992,8.5,394,35,165,187,44,9,394,4,1,25.0,2,50.0,161,719,257,4,3,0,5,4,191,7,Matches
685,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,36,1988,11.8,657,31,198,318,142,11,657,5,1,20.0,4,80.0,313,1164,444,4,7,0,7,2,380,30,Matches
686,Thibault De Smet,be BEL,DF,Reims,fr Ligue 1,26,1998,2.1,146,24,79,62,6,1,146,1,0,0.0,1,100.0,83,379,212,1,0,0,2,0,94,2,Matches
687,Koni De Winter,be BEL,DF,Genoa,it Serie A,22,2002,23.7,1551,161,801,659,105,34,1551,17,6,35.3,11,64.7,807,4302,1986,10,6,0,17,8,938,10,Matches
688,Amar Dedić,ba BIH,DF,Marseille,fr Ligue 1,21,2002,3.5,282,6,41,104,141,17,282,19,9,47.4,10,52.6,180,1311,748,21,12,5,8,8,194,46,Matches
689,Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,28,1995,15.9,686,49,189,352,152,20,686,4,3,75.0,1,25.0,332,1201,553,11,4,1,15,11,398,36,Matches
690,Romain Del Castillo,fr FRA,FW,Brest,fr Ligue 1,28,1996,14.0,840,6,69,392,393,41,836,44,19,43.2,25,56.8,438,2190,951,29,26,7,36,17,565,106,Matches
691,Enrico Del Prato,it ITA,DF,Parma,it Serie A,24,1999,32.7,1830,228,826,785,225,32,1830,4,2,50.0,1,25.0,1006,3835,1880,8,10,3,12,3,1078,31,Matches
