Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
230,Daniel Bandeira,pt POR,MF,Hellas Verona,it Serie A,24,2000,4.5,266,12,75,171,24,0,266,1,1,100.0,0,0.0,148,750,352,1,2,0,4,6,167,4,Matches
231,Mattia Bani,it ITA,DF,Genoa,it Serie A,30,1993,16.7,1048,180,689,340,24,10,1048,5,2,40.0,0,0.0,558,2317,1013,6,1,0,4,3,699,3,Matches
232,Noahkai Banks,us USA,DF,Augsburg,de Bundesliga,17,2006,3.1,229,23,94,124,14,2,229,1,0,0.0,1,100.0,123,580,253,2,5,0,2,1,129,3,Matches
233,Scott Banks,sct SCO,"FW,MF",St. Pauli,de Bundesliga,22,2001,1.3,48,2,11,12,26,6,48,7,2,28.6,3,42.9,24,151,63,3,1,3,0,2,28,8,Matches
234,Adrian Baquerin,es ESP,FW,Valladolid,es La Liga,17,2007,0.5,18,1,2,8,8,3,18,2,0,0.0,1,50.0,10,21,4,0,0,0,1,1,11,0,Matches
235,Antonín Barák,cz CZE,MF,Fiorentina,it Serie A,29,1994,0.6,25,1,2,11,12,3,25,1,0,0.0,1,100.0,20,117,35,2,1,0,1,0,20,5,Matches
236,Federico Barba,it ITA,DF,Como,it Serie A,30,1993,4.8,320,33,155,144,21,5,320,0,0,,0,,201,999,567,5,2,0,1,1,215,5,Matches
237,Valentín Barco,ar ARG,"DF,FW",Sevilla,es La Liga,20,2004,3.2,236,4,45,92,100,3,236,13,3,23.1,9,69.2,124,546,254,4,4,0,6,4,142,13,Matches
238,Valentín Barco,ar ARG,"MF,DF",Strasbourg,fr Ligue 1,20,2004,12.9,928,48,302,443,193,15,928,20,9,45.0,10,50.0,513,2052,1117,20,28,2,22,10,632,55,Matches
239,Bradley Barcola,fr FRA,FW,Paris S-G,fr Ligue 1,21,2002,24.2,1278,13,84,393,814,214,1278,137,34,24.8,94,68.6,855,5835,3505,137,65,95,64,20,1019,374,Matches
240,Melvin Bard,fr FRA,"DF,MF",Nice,fr Ligue 1,23,2000,21.5,1436,88,470,684,302,36,1436,49,22,44.9,26,53.1,778,4599,2686,53,36,10,28,15,858,95,Matches
241,Nicolò Barella,it ITA,MF,Inter,it Serie A,27,1997,27.3,2064,43,332,1121,634,42,2064,57,23,40.4,27,47.4,1393,6866,3158,63,47,8,29,42,1612,133,Matches
242,Gabriel Bares,ch SUI,"MF,DF",Montpellier,fr Ligue 1,23,2000,0.6,49,3,10,32,8,2,49,2,1,50.0,1,50.0,27,136,31,1,0,0,0,1,33,0,Matches
243,Borna Barišić,hr CRO,DF,Leganés,es La Liga,31,1992,0.1,4,0,0,2,2,0,4,0,0,,0,,2,6,1,0,0,0,0,0,3,0,Matches
244,Téo Barisic,fr FRA,DF,Lyon,fr Ligue 1,19,2004,0.0,2,1,2,0,0,0,2,0,0,,0,,1,0,0,0,0,0,0,0,1,0,Matches
245,Kike Barja,es ESP,"FW,MF",Osasuna,es La Liga,27,1997,3.5,167,1,24,46,98,17,167,16,7,43.8,8,50.0,102,831,384,22,9,5,16,5,111,39,Matches
246,Ross Barkley,eng ENG,MF,Aston Villa,eng Premier League,30,1993,6.5,464,17,75,275,121,19,464,16,12,75.0,4,25.0,277,1560,733,15,15,2,7,8,328,10,Matches
247,Aymen Barkok,ma MAR,MF,Mainz 05,de Bundesliga,26,1998,0.8,47,2,9,22,17,1,47,3,0,0.0,2,66.7,22,139,75,2,0,0,0,0,29,6,Matches
248,Harvey Barnes,eng ENG,FW,Newcastle Utd,eng Premier League,26,1997,19.5,810,17,97,257,462,128,810,64,24,37.5,33,51.6,561,4196,2467,93,48,47,33,23,647,192,Matches
249,Enzo Barrenechea,ar ARG,MF,Valencia,es La Liga,23,2001,24.3,1601,68,378,1038,198,14,1601,31,11,35.5,15,48.4,762,3275,1515,21,17,0,23,18,1068,16,Matches
250,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,es La Liga,22,2001,14.0,751,11,102,263,402,63,751,69,26,37.7,40,58.0,470,2996,1239,43,26,19,47,26,522,152,Matches
251,Pablo Barrios,es ESP,MF,Atlético Madrid,es La Liga,21,2003,25.9,1784,51,415,1001,378,29,1784,42,25,59.5,14,33.3,1119,5204,2315,29,35,6,49,23,1308,69,Matches
252,Thierno Barry,fr FRA,FW,Villarreal,es La Liga,21,2002,25.8,624,22,44,246,346,126,623,50,18,36.0,25,50.0,347,2237,1041,44,35,25,86,27,485,124,Matches
253,Davide Bartesaghi,it ITA,DF,Milan,it Serie A,18,2005,1.3,89,2,14,36,40,2,89,2,0,0.0,2,100.0,55,228,121,2,3,0,0,1,61,17,Matches
254,Marc Bartra,es ESP,DF,Betis,es La Liga,33,1991,23.3,1483,219,862,561,70,18,1483,15,7,46.7,8,53.3,804,3902,2534,7,15,1,12,5,903,1,Matches
255,Federico Baschirotto,it ITA,DF,Lecce,it Serie A,27,1996,38.0,2043,370,1242,736,73,36,2043,5,4,80.0,0,0.0,940,4670,2500,13,9,0,13,1,1157,5,Matches
256,Daniele Baselli,it ITA,MF,Como,it Serie A,32,1992,0.2,31,1,6,23,2,0,31,0,0,,0,,22,134,45,2,0,0,1,0,24,0,Matches
257,Calvin Bassey,ng NGA,DF,Fulham,eng Premier League,24,1999,34.2,2463,324,1205,1151,132,19,2463,33,15,45.5,11,33.3,1571,8212,4940,39,20,5,34,8,1716,15,Matches
258,Aboubacar Bassinga,ci CIV,MF,Las Palmas,es La Liga,19,2005,0.0,4,0,0,4,0,0,4,0,0,,0,,3,11,4,0,0,0,0,1,3,0,Matches
259,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,25,1999,25.9,2446,196,824,1181,454,28,2446,16,7,43.8,5,31.3,1633,8290,4995,62,72,5,26,5,1815,83,Matches
260,Augusto Batalla,ar ARG,GK,Rayo Vallecano,es La Liga,28,1996,32.0,1260,1034,1245,15,0,0,1260,6,6,100.0,0,0.0,769,3644,2275,0,0,0,1,0,628,0,Matches
261,Michy Batshuayi,be BEL,FW,Eint Frankfurt,de Bundesliga,30,1993,3.3,101,1,8,57,37,14,101,7,2,28.6,5,71.4,60,319,103,3,2,2,11,1,67,15,Matches
262,Dylan Batubinsika,cd COD,DF,Saint-Étienne,fr Ligue 1,28,1996,22.4,1476,198,784,672,24,9,1476,9,6,66.7,2,22.2,790,4214,2345,11,2,0,6,2,974,1,Matches
263,Maximilian Bauer,de GER,DF,Augsburg,de Bundesliga,24,2000,7.3,422,45,177,222,24,3,422,0,0,,0,,216,991,539,4,4,0,6,2,260,7,Matches
264,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,34,1990,28.0,1147,901,1123,25,0,0,1147,1,1,100.0,0,0.0,678,3213,1803,0,0,0,0,0,574,0,Matches
265,Christoph Baumgartner,at AUT,MF,RB Leipzig,de Bundesliga,24,1999,17.9,910,49,167,451,311,65,910,42,17,40.5,19,45.2,438,2576,1434,37,35,7,47,31,575,95,Matches
266,Rafael Bauza,es ESP,MF,Espanyol,es La Liga,19,2005,2.0,74,6,22,39,14,1,74,2,1,50.0,1,50.0,37,193,102,1,2,0,1,0,42,3,Matches
267,Altay Bayındır,tr TUR,GK,Manchester Utd,eng Premier League,26,1998,4.0,168,145,166,2,0,0,168,0,0,,0,,110,432,196,0,0,0,0,0,103,0,Matches
268,Ihlas Bebou,tg TOG,MF,Hoffenheim,de Bundesliga,30,1994,0.1,5,0,0,2,3,1,5,0,0,,0,,4,6,1,0,0,0,1,0,5,0,Matches
269,Adrian Beck,de GER,"MF,FW",Heidenheim,de Bundesliga,27,1997,17.8,962,23,184,502,296,53,962,75,40,53.3,30,40.0,553,3077,1192,37,17,11,42,26,584,83,Matches
270,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,es La Liga,29,1995,11.1,384,10,41,113,236,36,384,11,4,36.4,4,36.4,242,1882,1038,51,16,14,17,4,300,110,Matches
271,Timo Becker,de GER,DF,Holstein Kiel,de Bundesliga,27,1997,27.2,1325,135,682,519,142,28,1325,26,12,46.2,14,53.8,588,3394,1709,28,26,1,28,10,684,38,Matches
272,Jan Bednarek,pl POL,DF,Southampton,eng Premier League,28,1996,28.1,2049,386,1091,924,41,15,2049,3,3,100.0,0,0.0,1046,3845,1742,5,5,1,9,3,1307,2,Matches
273,Donny van de Beek,nl NED,MF,Girona,es La Liga,27,1997,15.8,580,14,113,246,230,61,580,13,6,46.2,7,53.8,281,1412,588,17,15,2,13,15,387,85,Matches
274,Hannes Behrens,de GER,DF,Hoffenheim,de Bundesliga,,,0.3,27,0,2,11,14,2,27,1,1,100.0,0,0.0,13,59,25,0,1,0,2,0,13,7,Matches
275,Kevin Behrens,de GER,FW,Wolfsburg,de Bundesliga,33,1991,1.9,106,2,7,45,54,16,106,1,0,0.0,1,100.0,41,165,80,2,1,1,10,1,81,18,Matches
276,Maximilian Beier,de GER,"FW,MF",Dortmund,de Bundesliga,21,2002,17.7,618,16,73,245,308,88,618,51,22,43.1,27,52.9,338,1481,748,24,12,9,39,26,423,124,Matches
277,Luken Beitia,es ESP,DF,Real Sociedad,es La Liga,20,2004,0.1,7,2,6,1,0,0,7,0,0,,0,,6,12,1,0,0,0,0,0,5,0,Matches
278,Ismael Bekhoucha,ma MAR,"MF,DF",Getafe,es La Liga,19,2004,0.8,35,7,14,13,9,0,35,3,2,66.7,1,33.3,16,71,35,1,0,0,2,0,16,1,Matches
279,Reda Belahyane,ma MAR,MF,Hellas Verona,it Serie A,20,2004,18.4,884,49,251,526,126,8,884,52,33,63.5,17,32.7,551,3272,1498,22,17,5,34,21,591,13,Matches
280,Reda Belahyane,ma MAR,MF,Lazio,it Serie A,20,2004,2.2,118,11,45,66,10,0,118,6,3,50.0,2,33.3,76,378,215,4,1,0,6,2,82,1,Matches
281,Haris Belkebla,dz ALG,MF,Angers,fr Ligue 1,30,1994,19.9,1064,67,332,630,115,6,1064,22,9,40.9,10,45.5,558,2613,1056,8,15,1,27,10,686,15,Matches
282,Yassin Belkhdim,fr FRA,MF,Angers,fr Ligue 1,22,2002,16.9,702,46,236,347,130,18,702,15,2,13.3,12,80.0,343,1717,728,17,7,2,31,14,403,31,Matches
283,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,32,1991,16.0,952,129,514,402,41,30,952,6,2,33.3,3,50.0,415,1963,991,8,1,1,13,4,484,5,Matches
284,Armel Bella Kotchap,de GER,DF,Southampton,eng Premier League,22,2001,3.7,263,33,147,115,3,1,263,1,0,0.0,1,100.0,186,936,326,0,0,0,1,0,192,0,Matches
285,Raoul Bellanova,it ITA,DF,Torino,it Serie A,24,2000,1.0,51,5,19,19,13,1,51,1,0,0.0,1,100.0,34,228,127,4,3,0,1,0,33,5,Matches
286,Raoul Bellanova,it ITA,DF,Atalanta,it Serie A,24,2000,26.7,1469,46,334,582,570,48,1469,48,21,43.8,23,47.9,822,5166,2770,83,51,8,29,11,940,191,Matches
287,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,eng Premier League,26,1998,18.6,843,24,148,394,318,48,843,61,14,23.0,31,50.8,528,3269,1573,52,38,11,42,29,592,89,Matches
288,Héctor Bellerín,es ESP,DF,Betis,es La Liga,29,1995,6.4,384,25,122,190,73,11,384,8,6,75.0,2,25.0,212,729,344,3,4,0,6,1,242,22,Matches
