,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 25_level_0
,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
241,233,Ihlas Bebou,tg TOG,"FW,MF",Hoffenheim,de Bundesliga,26,1994,24.4,74,3.03,57,0,9,3,5,0,13,0.53,6,0,4,2,1,0,Matches
242,234,Rodrigo Becão,br BRA,DF,Udinese,it Serie A,24,1996,30.9,25,0.81,21,0,0,1,1,2,1,0.03,1,0,0,0,0,0,Matches
243,235,Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,de Bundesliga,25,1995,12.3,38,3.10,29,0,3,3,3,0,8,0.65,7,0,0,0,1,0,Matches
244,236,Timo Becker,de GER,DF,Schalke 04,de Bundesliga,23,1997,18.2,10,0.55,6,1,1,0,2,0,2,0.11,1,1,0,0,0,0,Matches
245,237,Jan Bednarek,pl POL,DF,Southampton,eng Premier League,24,1996,34.4,21,0.61,16,1,0,4,0,0,2,0.06,2,0,0,0,0,0,Matches
246,238,Donny van de Beek,nl NED,"MF,FW",Manchester Utd,eng Premier League,23,1997,5.8,12,2.05,10,0,1,0,1,0,2,0.34,1,0,0,0,1,0,Matches
247,239,Valon Behrami,ch SUI,MF,Genoa,it Serie A,35,1985,9.9,7,0.71,5,0,0,1,1,0,1,0.10,0,0,0,0,1,0,Matches
248,240,Brian Behrendt,de GER,DF,Arminia,de Bundesliga,28,1991,0.9,1,1.13,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
249,241,Maximilian Beier,de GER,"FW,DF",Hoffenheim,de Bundesliga,17,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
250,242,Ishak Belfodil,dz ALG,"FW,MF",Hoffenheim,de Bundesliga,28,1992,6.6,20,3.02,15,0,0,2,3,0,1,0.15,1,0,0,0,0,0,Matches
251,243,Erwan Belhadji,fr FRA,MF,Dijon,fr Ligue 1,19,2001,0.3,1,3.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
252,244,Haris Belkebla,dz ALG,MF,Brest,fr Ligue 1,26,1994,30.3,36,1.19,31,1,1,0,3,0,4,0.13,2,1,0,0,1,0,Matches
253,245,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,28,1991,14.1,10,0.71,8,1,0,0,0,1,2,0.14,1,1,0,0,0,0,Matches
254,246,Karim Bellarabi,de GER,"FW,MF",Leverkusen,de Bundesliga,30,1990,8.9,35,3.95,25,0,6,4,0,0,1,0.11,0,0,0,1,0,0,Matches
255,247,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Strasbourg,fr Ligue 1,22,1998,23.2,45,1.94,28,4,5,3,5,0,9,0.39,5,0,0,1,3,0,Matches
256,248,Héctor Bellerín,es ESP,"DF,MF",Arsenal,eng Premier League,25,1995,23.2,46,1.98,43,0,0,2,1,0,7,0.30,6,0,0,0,1,0,Matches
257,249,Jude Bellingham,eng ENG,MF,Dortmund,de Bundesliga,17,2003,18.9,39,2.07,33,0,1,1,3,1,7,0.37,7,0,0,0,0,0,Matches
258,250,Andrea Belotti,it ITA,FW,Torino,it Serie A,26,1993,32.1,123,3.83,56,2,14,17,31,3,16,0.50,6,0,2,3,4,1,Matches
259,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
260,251,Fran Beltrán,es ESP,"MF,FW",Celta Vigo,es La Liga,21,1999,15.5,20,1.29,17,1,1,1,0,0,1,0.06,1,0,0,0,0,0,Matches
261,252,Sami Ben Amar,ma MAR,MF,Nîmes,fr Ligue 1,22,1998,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
